trait	method	n	abbreviation	color	category
Astle_et_al_2016_Sum_basophil_neutrophil_counts	multixcan_eqtl	591	BNC	#C00000	Blood
Astle_et_al_2016_Sum_basophil_neutrophil_counts	multixcan_eqtl_enloc	117	BNC	#C00000	Blood
Astle_et_al_2016_Sum_eosinophil_basophil_counts	gwas	31356	EBC	#C00000	Blood
Astle_et_al_2016_Sum_eosinophil_basophil_counts	predixcan_sqtl_all_pairs	6463	EBC	#C00000	Blood
Astle_et_al_2016_Sum_eosinophil_basophil_counts	predixcan_sqtl	2020	EBC	#C00000	Blood
Astle_et_al_2016_Sum_eosinophil_basophil_counts	predixcan_sqtl_mrcp	333	EBC	#C00000	Blood
Astle_et_al_2016_Sum_eosinophil_basophil_counts	predixcan_sqtl_enloc_all_pairs	124	EBC	#C00000	Blood
Astle_et_al_2016_Sum_eosinophil_basophil_counts	predixcan_sqtl_enloc	59	EBC	#C00000	Blood
Astle_et_al_2016_Sum_eosinophil_basophil_counts	multixcan_sqtl	2252	EBC	#C00000	Blood
Astle_et_al_2016_Sum_eosinophil_basophil_counts	multixcan_sqtl_enloc	65	EBC	#C00000	Blood
Astle_et_al_2016_Sum_eosinophil_basophil_counts	predixcan_eqtl_all_pairs	3747	EBC	#C00000	Blood
Astle_et_al_2016_Sum_eosinophil_basophil_counts	predixcan_eqtl	664	EBC	#C00000	Blood
Astle_et_al_2016_Sum_eosinophil_basophil_counts	predixcan_eqtl_enloc_all_pairs	285	EBC	#C00000	Blood
Astle_et_al_2016_Sum_eosinophil_basophil_counts	predixcan_eqtl_mrcp	682	EBC	#C00000	Blood
Astle_et_al_2016_Sum_eosinophil_basophil_counts	predixcan_eqtl_enloc	71	EBC	#C00000	Blood
Astle_et_al_2016_Sum_eosinophil_basophil_counts	multixcan_eqtl	793	EBC	#C00000	Blood
Astle_et_al_2016_Sum_eosinophil_basophil_counts	multixcan_eqtl_enloc	96	EBC	#C00000	Blood
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	gwas	21563	NEC	#C00000	Blood
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	predixcan_sqtl_all_pairs	5345	NEC	#C00000	Blood
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	predixcan_sqtl	1502	NEC	#C00000	Blood
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	predixcan_sqtl_mrcp	639	NEC	#C00000	Blood
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	predixcan_sqtl_enloc_all_pairs	302	NEC	#C00000	Blood
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	predixcan_sqtl_enloc	77	NEC	#C00000	Blood
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	multixcan_sqtl	1581	NEC	#C00000	Blood
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	multixcan_sqtl_enloc	84	NEC	#C00000	Blood
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	predixcan_eqtl_all_pairs	2953	NEC	#C00000	Blood
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	predixcan_eqtl	556	NEC	#C00000	Blood
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	predixcan_eqtl_enloc_all_pairs	295	NEC	#C00000	Blood
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	predixcan_eqtl_mrcp	761	NEC	#C00000	Blood
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	predixcan_eqtl_enloc	92	NEC	#C00000	Blood
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	multixcan_eqtl	592	NEC	#C00000	Blood
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	multixcan_eqtl_enloc	118	NEC	#C00000	Blood
Astle_et_al_2016_White_blood_cell_count	gwas	29328	WBC	#C00000	Blood
Astle_et_al_2016_White_blood_cell_count	predixcan_sqtl_all_pairs	7233	WBC	#C00000	Blood
Astle_et_al_2016_White_blood_cell_count	predixcan_sqtl	1984	WBC	#C00000	Blood
Astle_et_al_2016_White_blood_cell_count	predixcan_sqtl_mrcp	922	WBC	#C00000	Blood
Astle_et_al_2016_White_blood_cell_count	predixcan_sqtl_enloc_all_pairs	473	WBC	#C00000	Blood
Astle_et_al_2016_White_blood_cell_count	predixcan_sqtl_enloc	112	WBC	#C00000	Blood
Astle_et_al_2016_White_blood_cell_count	multixcan_sqtl	2121	WBC	#C00000	Blood
Astle_et_al_2016_White_blood_cell_count	multixcan_sqtl_enloc	109	WBC	#C00000	Blood
Astle_et_al_2016_White_blood_cell_count	predixcan_eqtl_all_pairs	3826	WBC	#C00000	Blood
Astle_et_al_2016_White_blood_cell_count	predixcan_eqtl	695	WBC	#C00000	Blood
Astle_et_al_2016_White_blood_cell_count	predixcan_eqtl_enloc_all_pairs	363	WBC	#C00000	Blood
Astle_et_al_2016_White_blood_cell_count	predixcan_eqtl_mrcp	853	WBC	#C00000	Blood
Astle_et_al_2016_White_blood_cell_count	predixcan_eqtl_enloc	113	WBC	#C00000	Blood
Astle_et_al_2016_White_blood_cell_count	multixcan_eqtl	746	WBC	#C00000	Blood
Astle_et_al_2016_White_blood_cell_count	multixcan_eqtl_enloc	139	WBC	#C00000	Blood
BCAC_ER_negative_BreastCancer_EUR	gwas	3783	ERNBC	#A0A0A0	Cancer
BCAC_ER_negative_BreastCancer_EUR	predixcan_sqtl_all_pairs	227	ERNBC	#A0A0A0	Cancer
BCAC_ER_negative_BreastCancer_EUR	predixcan_sqtl	160	ERNBC	#A0A0A0	Cancer
BCAC_ER_negative_BreastCancer_EUR	predixcan_sqtl_mrcp	8	ERNBC	#A0A0A0	Cancer
BCAC_ER_negative_BreastCancer_EUR	predixcan_sqtl_enloc_all_pairs	1	ERNBC	#A0A0A0	Cancer
BCAC_ER_negative_BreastCancer_EUR	predixcan_sqtl_enloc	1	ERNBC	#A0A0A0	Cancer
BCAC_ER_negative_BreastCancer_EUR	multixcan_sqtl	162	ERNBC	#A0A0A0	Cancer
BCAC_ER_negative_BreastCancer_EUR	multixcan_sqtl_enloc	3	ERNBC	#A0A0A0	Cancer
BCAC_ER_negative_BreastCancer_EUR	predixcan_eqtl_all_pairs	258	ERNBC	#A0A0A0	Cancer
BCAC_ER_negative_BreastCancer_EUR	predixcan_eqtl	62	ERNBC	#A0A0A0	Cancer
BCAC_ER_negative_BreastCancer_EUR	predixcan_eqtl_enloc_all_pairs	9	ERNBC	#A0A0A0	Cancer
BCAC_ER_negative_BreastCancer_EUR	predixcan_eqtl_mrcp	33	ERNBC	#A0A0A0	Cancer
BCAC_ER_negative_BreastCancer_EUR	predixcan_eqtl_enloc	9	ERNBC	#A0A0A0	Cancer
BCAC_ER_negative_BreastCancer_EUR	multixcan_eqtl	63	ERNBC	#A0A0A0	Cancer
BCAC_ER_negative_BreastCancer_EUR	multixcan_eqtl_enloc	12	ERNBC	#A0A0A0	Cancer
BCAC_ER_positive_BreastCancer_EUR	gwas	236	ERPBC	#A0A0A0	Cancer
BCAC_ER_positive_BreastCancer_EUR	predixcan_sqtl_all_pairs	56	ERPBC	#A0A0A0	Cancer
BCAC_ER_positive_BreastCancer_EUR	predixcan_sqtl	11	ERPBC	#A0A0A0	Cancer
BCAC_ER_positive_BreastCancer_EUR	predixcan_sqtl_mrcp	0	ERPBC	#A0A0A0	Cancer
BCAC_ER_positive_BreastCancer_EUR	predixcan_sqtl_enloc_all_pairs	0	ERPBC	#A0A0A0	Cancer
BCAC_ER_positive_BreastCancer_EUR	predixcan_sqtl_enloc	0	ERPBC	#A0A0A0	Cancer
BCAC_ER_positive_BreastCancer_EUR	multixcan_sqtl	8	ERPBC	#A0A0A0	Cancer
BCAC_ER_positive_BreastCancer_EUR	multixcan_sqtl_enloc	0	ERPBC	#A0A0A0	Cancer
BCAC_ER_positive_BreastCancer_EUR	predixcan_eqtl_all_pairs	12	ERPBC	#A0A0A0	Cancer
BCAC_ER_positive_BreastCancer_EUR	predixcan_eqtl	7	ERPBC	#A0A0A0	Cancer
BCAC_ER_positive_BreastCancer_EUR	predixcan_eqtl_enloc_all_pairs	0	ERPBC	#A0A0A0	Cancer
BCAC_ER_positive_BreastCancer_EUR	predixcan_eqtl_mrcp	0	ERPBC	#A0A0A0	Cancer
BCAC_ER_positive_BreastCancer_EUR	predixcan_eqtl_enloc	0	ERPBC	#A0A0A0	Cancer
BCAC_ER_positive_BreastCancer_EUR	multixcan_eqtl	5	ERPBC	#A0A0A0	Cancer
BCAC_ER_positive_BreastCancer_EUR	multixcan_eqtl_enloc	0	ERPBC	#A0A0A0	Cancer
BCAC_Overall_BreastCancer_EUR	gwas	4552	BC	#A0A0A0	Cancer
BCAC_Overall_BreastCancer_EUR	predixcan_sqtl_all_pairs	285	BC	#A0A0A0	Cancer
BCAC_Overall_BreastCancer_EUR	predixcan_sqtl	198	BC	#A0A0A0	Cancer
BCAC_Overall_BreastCancer_EUR	predixcan_sqtl_mrcp	15	BC	#A0A0A0	Cancer
BCAC_Overall_BreastCancer_EUR	predixcan_sqtl_enloc_all_pairs	12	BC	#A0A0A0	Cancer
BCAC_Overall_BreastCancer_EUR	predixcan_sqtl_enloc	7	BC	#A0A0A0	Cancer
BCAC_Overall_BreastCancer_EUR	multixcan_sqtl	203	BC	#A0A0A0	Cancer
BCAC_Overall_BreastCancer_EUR	multixcan_sqtl_enloc	5	BC	#A0A0A0	Cancer
BCAC_Overall_BreastCancer_EUR	predixcan_eqtl_all_pairs	323	BC	#A0A0A0	Cancer
BCAC_Overall_BreastCancer_EUR	predixcan_eqtl	77	BC	#A0A0A0	Cancer
BCAC_Overall_BreastCancer_EUR	predixcan_eqtl_enloc_all_pairs	23	BC	#A0A0A0	Cancer
BCAC_Overall_BreastCancer_EUR	predixcan_eqtl_mrcp	78	BC	#A0A0A0	Cancer
BCAC_Overall_BreastCancer_EUR	predixcan_eqtl_enloc	14	BC	#A0A0A0	Cancer
BCAC_Overall_BreastCancer_EUR	multixcan_eqtl	82	BC	#A0A0A0	Cancer
BCAC_Overall_BreastCancer_EUR	multixcan_eqtl_enloc	15	BC	#A0A0A0	Cancer
CARDIoGRAM_C4D_CAD_ADDITIVE	gwas	1647	CAD	#004000	Cardiometabolic
CARDIoGRAM_C4D_CAD_ADDITIVE	predixcan_sqtl_all_pairs	252	CAD	#004000	Cardiometabolic
CARDIoGRAM_C4D_CAD_ADDITIVE	predixcan_sqtl	107	CAD	#004000	Cardiometabolic
CARDIoGRAM_C4D_CAD_ADDITIVE	predixcan_sqtl_mrcp	116	CAD	#004000	Cardiometabolic
CARDIoGRAM_C4D_CAD_ADDITIVE	predixcan_sqtl_enloc_all_pairs	88	CAD	#004000	Cardiometabolic
CARDIoGRAM_C4D_CAD_ADDITIVE	predixcan_sqtl_enloc	19	CAD	#004000	Cardiometabolic
CARDIoGRAM_C4D_CAD_ADDITIVE	multixcan_sqtl	103	CAD	#004000	Cardiometabolic
CARDIoGRAM_C4D_CAD_ADDITIVE	multixcan_sqtl_enloc	19	CAD	#004000	Cardiometabolic
CARDIoGRAM_C4D_CAD_ADDITIVE	predixcan_eqtl_all_pairs	225	CAD	#004000	Cardiometabolic
CARDIoGRAM_C4D_CAD_ADDITIVE	predixcan_eqtl	64	CAD	#004000	Cardiometabolic
CARDIoGRAM_C4D_CAD_ADDITIVE	predixcan_eqtl_enloc_all_pairs	73	CAD	#004000	Cardiometabolic
CARDIoGRAM_C4D_CAD_ADDITIVE	predixcan_eqtl_mrcp	136	CAD	#004000	Cardiometabolic
CARDIoGRAM_C4D_CAD_ADDITIVE	predixcan_eqtl_enloc	26	CAD	#004000	Cardiometabolic
CARDIoGRAM_C4D_CAD_ADDITIVE	multixcan_eqtl	58	CAD	#004000	Cardiometabolic
CARDIoGRAM_C4D_CAD_ADDITIVE	multixcan_eqtl_enloc	29	CAD	#004000	Cardiometabolic
CNCR_Insomnia_all	gwas	7	INSOMN	#0000A0	Psychiatric_neurologic
CNCR_Insomnia_all	predixcan_sqtl_all_pairs	0	INSOMN	#0000A0	Psychiatric_neurologic
CNCR_Insomnia_all	predixcan_sqtl	0	INSOMN	#0000A0	Psychiatric_neurologic
CNCR_Insomnia_all	predixcan_sqtl_mrcp	0	INSOMN	#0000A0	Psychiatric_neurologic
CNCR_Insomnia_all	predixcan_sqtl_enloc_all_pairs	0	INSOMN	#0000A0	Psychiatric_neurologic
CNCR_Insomnia_all	predixcan_sqtl_enloc	0	INSOMN	#0000A0	Psychiatric_neurologic
CNCR_Insomnia_all	multixcan_sqtl	0	INSOMN	#0000A0	Psychiatric_neurologic
CNCR_Insomnia_all	multixcan_sqtl_enloc	0	INSOMN	#0000A0	Psychiatric_neurologic
CNCR_Insomnia_all	predixcan_eqtl_all_pairs	0	INSOMN	#0000A0	Psychiatric_neurologic
CNCR_Insomnia_all	predixcan_eqtl	0	INSOMN	#0000A0	Psychiatric_neurologic
CNCR_Insomnia_all	predixcan_eqtl_enloc_all_pairs	0	INSOMN	#0000A0	Psychiatric_neurologic
CNCR_Insomnia_all	predixcan_eqtl_mrcp	0	INSOMN	#0000A0	Psychiatric_neurologic
CNCR_Insomnia_all	predixcan_eqtl_enloc	0	INSOMN	#0000A0	Psychiatric_neurologic
CNCR_Insomnia_all	multixcan_eqtl	1	INSOMN	#0000A0	Psychiatric_neurologic
CNCR_Insomnia_all	multixcan_eqtl_enloc	0	INSOMN	#0000A0	Psychiatric_neurologic
Astle_et_al_2016_Granulocyte_count	gwas	21796	GC	#C00000	Blood
Astle_et_al_2016_Granulocyte_count	predixcan_sqtl_all_pairs	5389	GC	#C00000	Blood
Astle_et_al_2016_Granulocyte_count	predixcan_sqtl	1509	GC	#C00000	Blood
Astle_et_al_2016_Granulocyte_count	predixcan_sqtl_mrcp	594	GC	#C00000	Blood
Astle_et_al_2016_Granulocyte_count	predixcan_sqtl_enloc_all_pairs	293	GC	#C00000	Blood
Astle_et_al_2016_Granulocyte_count	predixcan_sqtl_enloc	77	GC	#C00000	Blood
Astle_et_al_2016_Granulocyte_count	multixcan_sqtl	1585	GC	#C00000	Blood
Astle_et_al_2016_Granulocyte_count	multixcan_sqtl_enloc	79	GC	#C00000	Blood
Astle_et_al_2016_Granulocyte_count	predixcan_eqtl_all_pairs	2961	GC	#C00000	Blood
Astle_et_al_2016_Granulocyte_count	predixcan_eqtl	561	GC	#C00000	Blood
Astle_et_al_2016_Granulocyte_count	predixcan_eqtl_enloc_all_pairs	288	GC	#C00000	Blood
Astle_et_al_2016_Granulocyte_count	predixcan_eqtl_mrcp	771	GC	#C00000	Blood
Astle_et_al_2016_Granulocyte_count	predixcan_eqtl_enloc	94	GC	#C00000	Blood
Astle_et_al_2016_Granulocyte_count	multixcan_eqtl	603	GC	#C00000	Blood
Astle_et_al_2016_Granulocyte_count	multixcan_eqtl_enloc	123	GC	#C00000	Blood
EAGLE_Eczema	gwas	656	ECZ	#FFFF00	Allergy
EAGLE_Eczema	predixcan_sqtl_all_pairs	78	ECZ	#FFFF00	Allergy
EAGLE_Eczema	predixcan_sqtl	62	ECZ	#FFFF00	Allergy
EAGLE_Eczema	predixcan_sqtl_mrcp	0	ECZ	#FFFF00	Allergy
EAGLE_Eczema	predixcan_sqtl_enloc_all_pairs	0	ECZ	#FFFF00	Allergy
EAGLE_Eczema	predixcan_sqtl_enloc	0	ECZ	#FFFF00	Allergy
EAGLE_Eczema	multixcan_sqtl	69	ECZ	#FFFF00	Allergy
EAGLE_Eczema	multixcan_sqtl_enloc	0	ECZ	#FFFF00	Allergy
EAGLE_Eczema	predixcan_eqtl_all_pairs	99	ECZ	#FFFF00	Allergy
EAGLE_Eczema	predixcan_eqtl	38	ECZ	#FFFF00	Allergy
EAGLE_Eczema	predixcan_eqtl_enloc_all_pairs	1	ECZ	#FFFF00	Allergy
EAGLE_Eczema	predixcan_eqtl_mrcp	7	ECZ	#FFFF00	Allergy
EAGLE_Eczema	predixcan_eqtl_enloc	1	ECZ	#FFFF00	Allergy
EAGLE_Eczema	multixcan_eqtl	63	ECZ	#FFFF00	Allergy
EAGLE_Eczema	multixcan_eqtl_enloc	2	ECZ	#FFFF00	Allergy
EGG_BW3_EUR	gwas	1546	BW	#404040	Anthropometric
EGG_BW3_EUR	predixcan_sqtl_all_pairs	266	BW	#404040	Anthropometric
EGG_BW3_EUR	predixcan_sqtl	106	BW	#404040	Anthropometric
EGG_BW3_EUR	predixcan_sqtl_mrcp	52	BW	#404040	Anthropometric
EGG_BW3_EUR	predixcan_sqtl_enloc_all_pairs	40	BW	#404040	Anthropometric
EGG_BW3_EUR	predixcan_sqtl_enloc	17	BW	#404040	Anthropometric
EGG_BW3_EUR	multixcan_sqtl	107	BW	#404040	Anthropometric
EGG_BW3_EUR	multixcan_sqtl_enloc	12	BW	#404040	Anthropometric
EGG_BW3_EUR	predixcan_eqtl_all_pairs	274	BW	#404040	Anthropometric
EGG_BW3_EUR	predixcan_eqtl	60	BW	#404040	Anthropometric
EGG_BW3_EUR	predixcan_eqtl_enloc_all_pairs	72	BW	#404040	Anthropometric
EGG_BW3_EUR	predixcan_eqtl_mrcp	195	BW	#404040	Anthropometric
EGG_BW3_EUR	predixcan_eqtl_enloc	20	BW	#404040	Anthropometric
EGG_BW3_EUR	multixcan_eqtl	65	BW	#404040	Anthropometric
EGG_BW3_EUR	multixcan_eqtl_enloc	27	BW	#404040	Anthropometric
EGG_Pubertal_growth_10F	gwas	0	PHF	#404040	Anthropometric
EGG_Pubertal_growth_10F	predixcan_sqtl_all_pairs	1	PHF	#404040	Anthropometric
EGG_Pubertal_growth_10F	predixcan_sqtl	1	PHF	#404040	Anthropometric
EGG_Pubertal_growth_10F	predixcan_sqtl_mrcp	0	PHF	#404040	Anthropometric
EGG_Pubertal_growth_10F	predixcan_sqtl_enloc_all_pairs	0	PHF	#404040	Anthropometric
EGG_Pubertal_growth_10F	predixcan_sqtl_enloc	0	PHF	#404040	Anthropometric
EGG_Pubertal_growth_10F	multixcan_sqtl	1	PHF	#404040	Anthropometric
EGG_Pubertal_growth_10F	multixcan_sqtl_enloc	0	PHF	#404040	Anthropometric
EGG_Pubertal_growth_10F	predixcan_eqtl_all_pairs	0	PHF	#404040	Anthropometric
EGG_Pubertal_growth_10F	predixcan_eqtl	0	PHF	#404040	Anthropometric
EGG_Pubertal_growth_10F	predixcan_eqtl_enloc_all_pairs	0	PHF	#404040	Anthropometric
EGG_Pubertal_growth_10F	predixcan_eqtl_mrcp	0	PHF	#404040	Anthropometric
EGG_Pubertal_growth_10F	predixcan_eqtl_enloc	0	PHF	#404040	Anthropometric
EGG_Pubertal_growth_10F	multixcan_eqtl	0	PHF	#404040	Anthropometric
EGG_Pubertal_growth_10F	multixcan_eqtl_enloc	0	PHF	#404040	Anthropometric
EGG_Pubertal_growth_12M	gwas	0	PHM	#404040	Anthropometric
EGG_Pubertal_growth_12M	predixcan_sqtl_all_pairs	1	PHM	#404040	Anthropometric
EGG_Pubertal_growth_12M	predixcan_sqtl	1	PHM	#404040	Anthropometric
EGG_Pubertal_growth_12M	predixcan_sqtl_mrcp	0	PHM	#404040	Anthropometric
EGG_Pubertal_growth_12M	predixcan_sqtl_enloc_all_pairs	0	PHM	#404040	Anthropometric
EGG_Pubertal_growth_12M	predixcan_sqtl_enloc	0	PHM	#404040	Anthropometric
EGG_Pubertal_growth_12M	multixcan_sqtl	1	PHM	#404040	Anthropometric
EGG_Pubertal_growth_12M	multixcan_sqtl_enloc	0	PHM	#404040	Anthropometric
EGG_Pubertal_growth_12M	predixcan_eqtl_all_pairs	3	PHM	#404040	Anthropometric
EGG_Pubertal_growth_12M	predixcan_eqtl	2	PHM	#404040	Anthropometric
EGG_Pubertal_growth_12M	predixcan_eqtl_enloc_all_pairs	0	PHM	#404040	Anthropometric
EGG_Pubertal_growth_12M	predixcan_eqtl_mrcp	0	PHM	#404040	Anthropometric
EGG_Pubertal_growth_12M	predixcan_eqtl_enloc	0	PHM	#404040	Anthropometric
EGG_Pubertal_growth_12M	multixcan_eqtl	0	PHM	#404040	Anthropometric
EGG_Pubertal_growth_12M	multixcan_eqtl_enloc	0	PHM	#404040	Anthropometric
ENIGMA_Intracraneal_Volume	gwas	65	ICV	#404040	Anthropometric
ENIGMA_Intracraneal_Volume	predixcan_sqtl_all_pairs	3	ICV	#404040	Anthropometric
ENIGMA_Intracraneal_Volume	predixcan_sqtl	2	ICV	#404040	Anthropometric
ENIGMA_Intracraneal_Volume	predixcan_sqtl_mrcp	0	ICV	#404040	Anthropometric
ENIGMA_Intracraneal_Volume	predixcan_sqtl_enloc_all_pairs	0	ICV	#404040	Anthropometric
ENIGMA_Intracraneal_Volume	predixcan_sqtl_enloc	0	ICV	#404040	Anthropometric
ENIGMA_Intracraneal_Volume	multixcan_sqtl	3	ICV	#404040	Anthropometric
ENIGMA_Intracraneal_Volume	multixcan_sqtl_enloc	0	ICV	#404040	Anthropometric
ENIGMA_Intracraneal_Volume	predixcan_eqtl_all_pairs	16	ICV	#404040	Anthropometric
ENIGMA_Intracraneal_Volume	predixcan_eqtl	7	ICV	#404040	Anthropometric
ENIGMA_Intracraneal_Volume	predixcan_eqtl_enloc_all_pairs	0	ICV	#404040	Anthropometric
ENIGMA_Intracraneal_Volume	predixcan_eqtl_mrcp	0	ICV	#404040	Anthropometric
ENIGMA_Intracraneal_Volume	predixcan_eqtl_enloc	0	ICV	#404040	Anthropometric
ENIGMA_Intracraneal_Volume	multixcan_eqtl	4	ICV	#404040	Anthropometric
ENIGMA_Intracraneal_Volume	multixcan_eqtl_enloc	0	ICV	#404040	Anthropometric
GABRIEL_Asthma	gwas	687	ATH	#FFFF00	Allergy
GABRIEL_Asthma	predixcan_sqtl_all_pairs	560	ATH	#FFFF00	Allergy
GABRIEL_Asthma	predixcan_sqtl	100	ATH	#FFFF00	Allergy
GABRIEL_Asthma	predixcan_sqtl_mrcp	1	ATH	#FFFF00	Allergy
GABRIEL_Asthma	predixcan_sqtl_enloc_all_pairs	1	ATH	#FFFF00	Allergy
GABRIEL_Asthma	predixcan_sqtl_enloc	1	ATH	#FFFF00	Allergy
GABRIEL_Asthma	multixcan_sqtl	98	ATH	#FFFF00	Allergy
GABRIEL_Asthma	multixcan_sqtl_enloc	1	ATH	#FFFF00	Allergy
GABRIEL_Asthma	predixcan_eqtl_all_pairs	271	ATH	#FFFF00	Allergy
GABRIEL_Asthma	predixcan_eqtl	33	ATH	#FFFF00	Allergy
GABRIEL_Asthma	predixcan_eqtl_enloc_all_pairs	0	ATH	#FFFF00	Allergy
GABRIEL_Asthma	predixcan_eqtl_mrcp	0	ATH	#FFFF00	Allergy
GABRIEL_Asthma	predixcan_eqtl_enloc	0	ATH	#FFFF00	Allergy
GABRIEL_Asthma	multixcan_eqtl	32	ATH	#FFFF00	Allergy
GABRIEL_Asthma	multixcan_eqtl_enloc	0	ATH	#FFFF00	Allergy
GEFOS_Forearm	gwas	167	BMD	#404040	Anthropometric
GEFOS_Forearm	predixcan_sqtl_all_pairs	6	BMD	#404040	Anthropometric
GEFOS_Forearm	predixcan_sqtl	6	BMD	#404040	Anthropometric
GEFOS_Forearm	predixcan_sqtl_mrcp	0	BMD	#404040	Anthropometric
GEFOS_Forearm	predixcan_sqtl_enloc_all_pairs	0	BMD	#404040	Anthropometric
GEFOS_Forearm	predixcan_sqtl_enloc	0	BMD	#404040	Anthropometric
