phenotype	n	b
UKB_6150_1_Vascular_or_heart_problems_diagnosed_by_doctor_Heart_attack	1780877	2.80760546629554e-08
GIANT_HEIGHT	1773870	2.81869584580606e-08
ICBP_SystolicPressure	1775123	2.81670622261105e-08
UKB_20002_1453_self_reported_psoriasis	1780877	2.80760546629554e-08
UKB_20002_1111_self_reported_asthma	1780877	2.80760546629554e-08
Jones_et_al_2016_Chronotype	1782018	2.80580779767657e-08
GLGC_Mc_LDL	1776964	2.81378801146225e-08
Astle_et_al_2016_Red_blood_cell_count	1782874	2.80446066295207e-08
Astle_et_al_2016_Myeloid_white_cell_count	1782874	2.80446066295207e-08
TAGC_Asthma_EUR	1777411	2.81308037364459e-08
UKB_2395_3_Hair_or_balding_pattern_Pattern_3	1780877	2.80760546629554e-08
ILAE_Genetic_generalised_epilepsy	1780096	2.80883727619185e-08
UKB_6152_5_diagnosed_by_doctor_Blood_clot_in_the_leg_DVT	1780877	2.80760546629554e-08
UKB_50_Standing_height	1780877	2.80760546629554e-08
RA_OKADA_TRANS_ETHNIC	1780650	2.80796338415747e-08
Astle_et_al_2016_Platelet_count	1782874	2.80446066295207e-08
BCAC_ER_negative_BreastCancer_EUR	1780282	2.80854381496864e-08
DIAGRAM_T2D_TRANS_ETHNIC	1775708	2.81577826985067e-08
Astle_et_al_2016_Lymphocyte_counts	1782874	2.80446066295207e-08
UKB_20002_1261_self_reported_multiple_sclerosis	1780877	2.80760546629554e-08
UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	1780877	2.80760546629554e-08
GPC-NEO-NEUROTICISM	1776709	2.81419185696701e-08
GIANT_WC_Combined_EUR	1774271	2.81805879710597e-08
EAGLE_Eczema	1780911	2.80755186530938e-08
UKB_20127_Neuroticism_score	1780877	2.80760546629554e-08
UKB_G43_Diagnoses_main_ICD10_G43_Migraine	1780877	2.80760546629554e-08
UKB_20002_1466_self_reported_gout	1780877	2.80760546629554e-08
IGAP_Alzheimer	1775749	2.81571325677221e-08
UKB_20002_1313_self_reported_ankylosing_spondylitis	1780877	2.80760546629554e-08
Astle_et_al_2016_Reticulocyte_count	1782874	2.80446066295207e-08
MAGNETIC_CH2.DB.ratio	1781919	2.80596368297324e-08
HRGene_HeartRate	1772906	2.82022848363083e-08
UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	1780877	2.80760546629554e-08
ICBP_DiastolicPressure	1776302	2.8148366662876e-08
tag.evrsmk.tbl	1776510	2.81450709537239e-08
UKB_3526_Mothers_age_at_death	1780877	2.80760546629554e-08
UKB_20022_Birth_weight	1780877	2.80760546629554e-08
GLGC_Mc_TG	1775767	2.8156847153934e-08
SSGAC_Depressive_Symptoms	1779233	2.81019967592777e-08
IBD.EUR.Crohns_Disease	1781034	2.80735797295279e-08
MAGNETIC_LDL.C	1782531	2.80500030574503e-08
UKB_20002_1094_self_reported_deep_venous_thrombosis_dvt	1780877	2.80760546629554e-08
