phenotype	n	b
UKB_1200_Sleeplessness_or_insomnia	683723	7.31290303236837e-08
UKB_20002_1463_self_reported_ulcerative_colitis	683723	7.31290303236837e-08
EAGLE_Eczema	683525	7.31502139643758e-08
UKB_20002_1154_self_reported_irritable_bowel_syndrome	683723	7.31290303236837e-08
UKB_20002_1225_self_reported_hyperthyroidism_or_thyrotoxicosis	683723	7.31290303236837e-08
Astle_et_al_2016_Sum_eosinophil_basophil_counts	684434	7.30530628227119e-08
GPC-NEO-NEUROTICISM	682263	7.32855218588726e-08
UKB_20002_1065_self_reported_hypertension	683723	7.31290303236837e-08
BCAC_Overall_BreastCancer_EUR	684010	7.30983465154018e-08
GIANT_WC_Combined_EUR	680623	7.34621075103251e-08
UKB_20002_1262_self_reported_parkinsons_disease	683723	7.31290303236837e-08
Astle_et_al_2016_Red_blood_cell_count	684434	7.30530628227119e-08
EGG_BL	681930	7.33213086387166e-08
