phenotype	n	b
UKB_20002_1094_self_reported_deep_venous_thrombosis_dvt	22509	2.22133368874672e-06
MAGNETIC_CH2.DB.ratio	22512	2.22103766879886e-06
IMMUNOBASE_Celiac_disease_hg19	22101	2.26234107053979e-06
UKB_20002_1616_self_reported_insomnia	22509	2.22133368874672e-06
UKB_20002_1313_self_reported_ankylosing_spondylitis	22509	2.22133368874672e-06
pgc.scz2	22507	2.2215310792198e-06
Astle_et_al_2016_Platelet_count	22513	2.2209390130147e-06
UKB_1180_Morning_or_evening_person_chronotype	22509	2.22133368874672e-06
MAGNETIC_HDL.C	22515	2.22074172773706e-06
UKB_20002_1462_self_reported_crohns_disease	22509	2.22133368874672e-06
TAGC_Asthma_EUR	22490	2.22321031569587e-06
UKB_G43_Diagnoses_main_ICD10_G43_Migraine	22509	2.22133368874672e-06
GABRIEL_Asthma	22469	2.22528817481864e-06
UKB_6152_7_diagnosed_by_doctor_Blood_clot_in_the_lung	22509	2.22133368874672e-06
UKB_20002_1289_self_reported_schizophrenia	22509	2.22133368874672e-06
IBD.EUR.Crohns_Disease	22510	2.22123500666371e-06
tag.evrsmk.tbl	22493	2.22291379540301e-06
UKB_20016_Fluid_intelligence_score	22509	2.22133368874672e-06
UKB_20002_1261_self_reported_multiple_sclerosis	22509	2.22133368874672e-06
Astle_et_al_2016_Granulocyte_count	22513	2.2209390130147e-06
ICBP_DiastolicPressure	22491	2.22311146680895e-06
ENIGMA_Intracraneal_Volume	22502	2.22202470891476e-06
UKB_20002_1265_self_reported_migraine	22509	2.22133368874672e-06
EGG_BW3_EUR	22473	2.2248920927335e-06
UKB_50_Standing_height	22509	2.22133368874672e-06
Jones_et_al_2016_SleepDuration	22511	2.22113633334814e-06
Astle_et_al_2016_High_light_scatter_reticulocyte_count	22513	2.2209390130147e-06
IMMUNOBASE_Systemic_lupus_erythematosus_hg19	22489	2.22330917337365e-06
UKB_23099_Body_fat_percentage	22509	2.22133368874672e-06
UKB_1160_Sleep_duration	22509	2.22133368874672e-06
UKB_G40_Diagnoses_main_ICD10_G40_Epilepsy	22509	2.22133368874672e-06
GIANT_HIP_Combined_EUR	22448	2.22736992159658e-06
UKB_20002_1309_self_reported_osteoporosis	22509	2.22133368874672e-06
UKB_1200_Sleeplessness_or_insomnia	22509	2.22133368874672e-06
EGG_BL	22491	2.22311146680895e-06
UKB_2395_4_Hair_or_balding_pattern_Pattern_4	22509	2.22133368874672e-06
MAGIC_FastingGlucose	22486	2.22360579916392e-06
CNCR_Insomnia_all	22514	2.22084036599449e-06
Astle_et_al_2016_Myeloid_white_cell_count	22513	2.2209390130147e-06
Astle_et_al_2016_Sum_eosinophil_basophil_counts	22513	2.2209390130147e-06
Astle_et_al_2016_Red_blood_cell_count	22513	2.2209390130147e-06
SSGAC_Education_Years_Pooled	22503	2.22192596542683e-06
UKB_20002_1463_self_reported_ulcerative_colitis	22509	2.22133368874672e-06
UKB_20002_1154_self_reported_irritable_bowel_syndrome	22509	2.22133368874672e-06
ICBP_SystolicPressure	22496	2.2226173541963e-06
PGC_ADHD_EUR_2017	22502	2.22202470891476e-06
CARDIoGRAM_C4D_CAD_ADDITIVE	22513	2.2209390130147e-06
GIANT_HEIGHT	22491	2.22311146680895e-06
GPC-NEO-NEUROTICISM	22493	2.22291379540301e-06
EGG_Pubertal_growth_12M	22428	2.22935616194043e-06
GIANT_WC_Combined_EUR	22448	2.22736992159658e-06
BCAC_Overall_BreastCancer_EUR	22508	2.22143237959837e-06
ADIPOGen_Adiponectin	22488	2.22340803984347e-06
Astle_et_al_2016_Monocyte_count	22513	2.2209390130147e-06
IBD.EUR.Inflammatory_Bowel_Disease	22511	2.22113633334814e-06
UKB_21001_Body_mass_index_BMI	22509	2.22133368874672e-06
EAGLE_Eczema	22509	2.22133368874672e-06
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	22513	2.2209390130147e-06
UKB_1807_Fathers_age_at_death	22509	2.22133368874672e-06
GIANT_2015_BMI_EUR	22447	2.22746914955228e-06
UKB_6150_1_Vascular_or_heart_problems_diagnosed_by_doctor_Heart_attack	22509	2.22133368874672e-06
UKB_20002_1461_self_reported_inflammatory_bowel_disease	22509	2.22133368874672e-06
Jones_et_al_2016_Chronotype	22512	2.22103766879886e-06
IMMUNOBASE_Multiple_sclerosis_hg19	22455	2.22667557336896e-06
CKDGen_Chronic_Kidney_Disease	22486	2.22360579916392e-06
UKB_20002_1223_self_reported_type_2_diabetes	22509	2.22133368874672e-06
UKB_20002_1225_self_reported_hyperthyroidism_or_thyrotoxicosis	22509	2.22133368874672e-06
UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	22509	2.22133368874672e-06
UKB_20002_1111_self_reported_asthma	22509	2.22133368874672e-06
UKB_20002_1065_self_reported_hypertension	22509	2.22133368874672e-06
UKB_20002_1262_self_reported_parkinsons_disease	22509	2.22133368874672e-06
UKB_20002_1453_self_reported_psoriasis	22509	2.22133368874672e-06
UKB_20002_1473_self_reported_high_cholesterol	22509	2.22133368874672e-06
UKB_20002_1452_self_reported_eczema_or_dermatitis	22509	2.22133368874672e-06
GLGC_Mc_LDL	22492	2.22301262671172e-06
UKB_2395_2_Hair_or_balding_pattern_Pattern_2	22509	2.22133368874672e-06
UKB_20002_1464_self_reported_rheumatoid_arthritis	22509	2.22133368874672e-06
