phenotype	n	b
UKB_1200_Sleeplessness_or_insomnia	184976	2.70305336908572e-07
UKB_20002_1262_self_reported_parkinsons_disease	184976	2.70305336908572e-07
MAGNETIC_IDL.TG	185006	2.70261505032269e-07
EGG_BMI_HapMapImputed	184606	2.70847101394321e-07
Astle_et_al_2016_Platelet_count	185025	2.70233752195649e-07
ICBP_DiastolicPressure	184593	2.70866175857156e-07
DIAGRAM_T2D_TRANS_ETHNIC	184564	2.70908736264927e-07
PGC_ASD_2017_CEU	184817	2.70537883419815e-07
IGAP_Alzheimer	184744	2.7064478413372e-07
UKB_20002_1466_self_reported_gout	184976	2.70305336908572e-07
UKB_20002_1462_self_reported_crohns_disease	184976	2.70305336908572e-07
pgc.scz2	184857	2.70479343492538e-07
Astle_et_al_2016_Granulocyte_count	185025	2.70233752195649e-07
BCAC_ER_positive_BreastCancer_EUR	184952	2.70340412647606e-07
MAGIC_ln_FastingInsulin	184574	2.70894058751503e-07
UKB_20002_1222_self_reported_type_1_diabetes	184976	2.70305336908572e-07
GIANT_WHR_Combined_EUR	184427	2.71109978473868e-07
Astle_et_al_2016_Reticulocyte_count	185025	2.70233752195649e-07
ISGC_Malik_2016_METASTROKE_all_strokes	184733	2.70660899785095e-07
BCAC_ER_negative_BreastCancer_EUR	184917	2.70391581087731e-07
Astle_et_al_2016_Lymphocyte_counts	185025	2.70233752195649e-07
TAGC_Asthma_EUR	184628	2.70814827653444e-07
UKB_20127_Neuroticism_score	184976	2.70305336908572e-07
UKB_2395_3_Hair_or_balding_pattern_Pattern_3	184976	2.70305336908572e-07
GEFOS_Forearm	184951	2.70341874334283e-07
EGG_Pubertal_growth_10F	183888	2.71904637605499e-07
RA_OKADA_TRANS_ETHNIC	184931	2.7037111138749e-07
UKB_6152_5_diagnosed_by_doctor_Blood_clot_in_the_leg_DVT	184976	2.70305336908572e-07
UKB_20002_1094_self_reported_deep_venous_thrombosis_dvt	184976	2.70305336908572e-07
GABRIEL_Asthma	184563	2.70910204103748e-07
Astle_et_al_2016_White_blood_cell_count	185025	2.70233752195649e-07
HRGene_HeartRate	184401	2.71148204185444e-07
MAGNETIC_CH2.DB.ratio	184994	2.70279036076846e-07
tag.evrsmk.tbl	184599	2.70857371925092e-07
MAGNETIC_HDL.C	185002	2.70267348461098e-07
SSGAC_Depressive_Symptoms	184895	2.70423754022553e-07
MAGNETIC_LDL.C	185002	2.70267348461098e-07
GIANT_HEIGHT	184482	2.71029151895578e-07
UKB_1807_Fathers_age_at_death	184976	2.70305336908572e-07
UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	184976	2.70305336908572e-07
EGG_Pubertal_growth_12M	183691	2.72196242603067e-07
Astle_et_al_2016_Myeloid_white_cell_count	185025	2.70233752195649e-07
UKB_20002_1464_self_reported_rheumatoid_arthritis	184976	2.70305336908572e-07
SSGAC_Education_Years_Pooled	184961	2.70327258178751e-07
IMMUNOBASE_Multiple_sclerosis_hg19	184495	2.71010054473021e-07
Astle_et_al_2016_High_light_scatter_reticulocyte_count	185025	2.70233752195649e-07
UKB_2395_2_Hair_or_balding_pattern_Pattern_2	184976	2.70305336908572e-07
UKB_G40_Diagnoses_main_ICD10_G40_Epilepsy	184976	2.70305336908572e-07
IBD.EUR.Inflammatory_Bowel_Disease	184947	2.70347721239058e-07
UKB_20002_1461_self_reported_inflammatory_bowel_disease	184976	2.70305336908572e-07
UKB_20002_1452_self_reported_eczema_or_dermatitis	184976	2.70305336908572e-07
GLGC_Mc_LDL	184662	2.70764965179625e-07
Jones_et_al_2016_Chronotype	184971	2.70312643603592e-07
UKB_1160_Sleep_duration	184976	2.70305336908572e-07
IMMUNOBASE_Systemic_lupus_erythematosus_hg19	184702	2.70706326948273e-07
MAGIC_FastingGlucose	184474	2.71040905493457e-07
UKB_6152_8_diagnosed_by_doctor_Asthma	184976	2.70305336908572e-07
Astle_et_al_2016_Eosinophil_counts	185025	2.70233752195649e-07
ILAE_Genetic_generalised_epilepsy	184808	2.7055105839574e-07
UKB_G43_Diagnoses_main_ICD10_G43_Migraine	184976	2.70305336908572e-07
IBD.EUR.Ulcerative_Colitis	184962	2.70325796650123e-07
UKB_1180_Morning_or_evening_person_chronotype	184976	2.70305336908572e-07
UKB_20002_1243_self_reported_psychological_or_psychiatric_problem	184976	2.70305336908572e-07
UKB_50_Standing_height	184976	2.70305336908572e-07
EGG_BW3_EUR	184774	2.70600842109821e-07
GLGC_Mc_HDL	184691	2.70722449929883e-07
UKB_3526_Mothers_age_at_death	184976	2.70305336908572e-07
GLGC_Mc_TG	184598	2.70858839207359e-07
UKB_20002_1616_self_reported_insomnia	184976	2.70305336908572e-07
ENIGMA_Intracraneal_Volume	184771	2.706052356701e-07
UKB_20002_1313_self_reported_ankylosing_spondylitis	184976	2.70305336908572e-07
UKB_20002_1261_self_reported_multiple_sclerosis	184976	2.70305336908572e-07
IMMUNOBASE_Celiac_disease_hg19	181665	2.75231882861311e-07
UKB_6152_7_diagnosed_by_doctor_Blood_clot_in_the_lung	184976	2.70305336908572e-07
UKB_20002_1289_self_reported_schizophrenia	184976	2.70305336908572e-07
UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	184976	2.70305336908572e-07
UKB_20022_Birth_weight	184976	2.70305336908572e-07
UKB_20016_Fluid_intelligence_score	184976	2.70305336908572e-07
UKB_20002_1265_self_reported_migraine	184976	2.70305336908572e-07
Astle_et_al_2016_Neutrophil_count	185025	2.70233752195649e-07
Astle_et_al_2016_Sum_basophil_neutrophil_counts	185025	2.70233752195649e-07
IBD.EUR.Crohns_Disease	184983	2.70295108199132e-07
GIANT_2017_BMI_Active_EUR	184472	2.71043844052214e-07
