phenotype	n	b
UKB_3526_Mothers_age_at_death	340936	1.46655090691508e-07
UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	340936	1.46655090691508e-07
UKB_G43_Diagnoses_main_ICD10_G43_Migraine	340936	1.46655090691508e-07
Astle_et_al_2016_Neutrophil_count	340553	1.4682002507686e-07
UKB_6152_8_diagnosed_by_doctor_Asthma	340936	1.46655090691508e-07
UKB_20016_Fluid_intelligence_score	340936	1.46655090691508e-07
UKB_6152_7_diagnosed_by_doctor_Blood_clot_in_the_lung	340936	1.46655090691508e-07
IBD.EUR.Ulcerative_Colitis	340823	1.46703714244637e-07
EGG_BW3_EUR	340386	1.46892057840217e-07
UKB_20002_1265_self_reported_migraine	340936	1.46655090691508e-07
Astle_et_al_2016_Sum_basophil_neutrophil_counts	340553	1.4682002507686e-07
UKB_20002_1313_self_reported_ankylosing_spondylitis	340936	1.46655090691508e-07
GLGC_Mc_TG	340933	1.46656381165801e-07
ILAE_Genetic_generalised_epilepsy	340935	1.46655520847082e-07
UKB_20002_1261_self_reported_multiple_sclerosis	340936	1.46655090691508e-07
UKB_20002_1289_self_reported_schizophrenia	340936	1.46655090691508e-07
