phenotype	n	b
UKB_20002_1464_self_reported_rheumatoid_arthritis	340101	1.47015151381501e-07
IMMUNOBASE_Systemic_lupus_erythematosus_hg19	339986	1.47064879142082e-07
GIANT_HEIGHT	340101	1.47015151381501e-07
UKB_2395_2_Hair_or_balding_pattern_Pattern_2	340101	1.47015151381501e-07
IBD.EUR.Inflammatory_Bowel_Disease	340085	1.47022068012409e-07
SSGAC_Education_Years_Pooled	340085	1.47022068012409e-07
EGG_Pubertal_growth_12M	339755	1.47164868802519e-07
Jones_et_al_2016_Chronotype	340062	1.47032011809611e-07
UKB_20002_1452_self_reported_eczema_or_dermatitis	340101	1.47015151381501e-07
UKB_G40_Diagnoses_main_ICD10_G40_Epilepsy	340101	1.47015151381501e-07
GLGC_Mc_LDL	340101	1.47015151381501e-07
UKB_1807_Fathers_age_at_death	340101	1.47015151381501e-07
Astle_et_al_2016_Reticulocyte_count	339966	1.470735308825e-07
BCAC_ER_positive_BreastCancer_EUR	340081	1.47023797271826e-07
GEFOS_Forearm	340069	1.47028985294161e-07
ICBP_DiastolicPressure	340101	1.47015151381501e-07
MAGIC_ln_FastingInsulin	340101	1.47015151381501e-07
PGC_ASD_2017_CEU	340088	1.4702077109454e-07
UKB_20002_1222_self_reported_type_1_diabetes	340101	1.47015151381501e-07
UKB_20127_Neuroticism_score	340101	1.47015151381501e-07
Astle_et_al_2016_White_blood_cell_count	339966	1.470735308825e-07
DIAGRAM_T2D_TRANS_ETHNIC	340085	1.47022068012409e-07
HRGene_HeartRate	340093	1.47018609615605e-07
MAGNETIC_HDL.C	340098	1.47016448200225e-07
EGG_BMI_HapMapImputed	340101	1.47015151381501e-07
Astle_et_al_2016_Lymphocyte_counts	339966	1.470735308825e-07
ISGC_Malik_2016_METASTROKE_all_strokes	340101	1.47015151381501e-07
MAGNETIC_LDL.C	340098	1.47016448200225e-07
TAGC_Asthma_EUR	340101	1.47015151381501e-07
tag.evrsmk.tbl	340101	1.47015151381501e-07
Astle_et_al_2016_Granulocyte_count	339966	1.470735308825e-07
Astle_et_al_2016_Platelet_count	339966	1.470735308825e-07
GABRIEL_Asthma	340101	1.47015151381501e-07
EGG_Pubertal_growth_10F	339756	1.47164435653822e-07
RA_OKADA_TRANS_ETHNIC	340093	1.47018609615605e-07
UKB_6152_5_diagnosed_by_doctor_Blood_clot_in_the_leg_DVT	340101	1.47015151381501e-07
pgc.scz2	340094	1.47018177327445e-07
MAGNETIC_IDL.TG	340098	1.47016448200225e-07
SSGAC_Depressive_Symptoms	340085	1.47022068012409e-07
GIANT_WHR_Combined_EUR	339840	1.47128060263653e-07
BCAC_ER_negative_BreastCancer_EUR	340081	1.47023797271826e-07
MAGNETIC_CH2.DB.ratio	340098	1.47016448200225e-07
UKB_20002_1094_self_reported_deep_venous_thrombosis_dvt	340101	1.47015151381501e-07
UKB_20002_1466_self_reported_gout	340101	1.47015151381501e-07
UKB_20002_1462_self_reported_crohns_disease	340101	1.47015151381501e-07
UKB_2395_3_Hair_or_balding_pattern_Pattern_3	340101	1.47015151381501e-07
IGAP_Alzheimer	340051	1.4703676801421e-07
