phenotype	n	b
UKB_20002_1309_self_reported_osteoporosis	137776	3.62907908489142e-07
GLGC_Mc_LDL	137583	3.63416991924874e-07
MAGNETIC_HDL.C	137863	3.62678891363165e-07
UKB_20002_1265_self_reported_migraine	137776	3.62907908489142e-07
MAGNETIC_LDL.C	137860	3.62686783693602e-07
Astle_et_al_2016_High_light_scatter_reticulocyte_count	137885	3.62621024767016e-07
UKB_20002_1453_self_reported_psoriasis	137776	3.62907908489142e-07
UKB_20002_1065_self_reported_hypertension	137776	3.62907908489142e-07
UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	137776	3.62907908489142e-07
Astle_et_al_2016_Reticulocyte_count	137885	3.62621024767016e-07
GLGC_Mc_HDL	137620	3.63319284987647e-07
UKB_2395_2_Hair_or_balding_pattern_Pattern_2	137776	3.62907908489142e-07
UKB_20002_1616_self_reported_insomnia	137776	3.62907908489142e-07
UKB_20002_1111_self_reported_asthma	137776	3.62907908489142e-07
UKB_20002_1261_self_reported_multiple_sclerosis	137776	3.62907908489142e-07
UKB_20002_1243_self_reported_psychological_or_psychiatric_problem	137776	3.62907908489142e-07
Astle_et_al_2016_Monocyte_count	137882	3.62628914579133e-07
PGC_ADHD_EUR_2017	137659	3.63216353453098e-07
EGG_BW3_EUR	137588	3.63403785213827e-07
UKB_2395_3_Hair_or_balding_pattern_Pattern_3	137776	3.62907908489142e-07
UKB_20022_Birth_weight	137776	3.62907908489142e-07
IMMUNOBASE_Multiple_sclerosis_hg19	137502	3.63631074457099e-07
UKB_G43_Diagnoses_main_ICD10_G43_Migraine	137776	3.62907908489142e-07
GEFOS_Forearm	137705	3.63095021967249e-07
pgc.scz2	137659	3.63216353453098e-07
PGC_ASD_2017_CEU	137683	3.63153039954097e-07
Astle_et_al_2016_Red_blood_cell_count	137885	3.62621024767016e-07
GIANT_2015_BMI_EUR	137087	3.64731885590902e-07
UKB_6150_1_Vascular_or_heart_problems_diagnosed_by_doctor_Heart_attack	137776	3.62907908489142e-07
UKB_20016_Fluid_intelligence_score	137776	3.62907908489142e-07
UKB_1180_Morning_or_evening_person_chronotype	137776	3.62907908489142e-07
GLGC_Mc_TG	137523	3.63575547362987e-07
UKB_20127_Neuroticism_score	137776	3.62907908489142e-07
UKB_3526_Mothers_age_at_death	137776	3.62907908489142e-07
Astle_et_al_2016_Sum_eosinophil_basophil_counts	137885	3.62621024767016e-07
IMMUNOBASE_Systemic_lupus_erythematosus_hg19	137615	3.63332485557534e-07
IGAP_Alzheimer	137503	3.63628429925165e-07
MAGNETIC_IDL.TG	137861	3.62684152878624e-07
UKB_20002_1154_self_reported_irritable_bowel_syndrome	137776	3.62907908489142e-07
UKB_50_Standing_height	137776	3.62907908489142e-07
ICBP_SystolicPressure	137451	3.63765996609701e-07
UKB_6152_5_diagnosed_by_doctor_Blood_clot_in_the_leg_DVT	137776	3.62907908489142e-07
GIANT_HEIGHT	137359	3.6400963897524e-07
ICBP_DiastolicPressure	137516	3.63594054510021e-07
Astle_et_al_2016_Sum_basophil_neutrophil_counts	137885	3.62621024767016e-07
GABRIEL_Asthma	137543	3.63522680180016e-07
Astle_et_al_2016_Eosinophil_counts	137885	3.62621024767016e-07
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	137885	3.62621024767016e-07
IBD.EUR.Crohns_Disease	137802	3.62839436292652e-07
UKB_23099_Body_fat_percentage	137776	3.62907908489142e-07
ADIPOGen_Adiponectin	137460	3.6374217954314e-07
Jones_et_al_2016_Chronotype	137841	3.62736776430815e-07
ILAE_Genetic_generalised_epilepsy	137718	3.63060747324242e-07
EAGLE_Eczema	137767	3.62931616424833e-07
UKB_2395_4_Hair_or_balding_pattern_Pattern_4	137776	3.62907908489142e-07
CKDGen_Chronic_Kidney_Disease	137410	3.63874536059967e-07
MAGIC_ln_FastingInsulin	137527	3.63564972696271e-07
Astle_et_al_2016_Granulocyte_count	137885	3.62621024767016e-07
SSGAC_Education_Years_Pooled	137790	3.62871035633936e-07
tag.evrsmk.tbl	137535	3.63543825208129e-07
IBD.EUR.Inflammatory_Bowel_Disease	137733	3.63021207698954e-07
GIANT_2017_BMI_Active_EUR	137407	3.63882480514093e-07
UKB_20002_1222_self_reported_type_1_diabetes	137776	3.62907908489142e-07
RA_OKADA_TRANS_ETHNIC	137786	3.62881569970824e-07
UKB_20002_1466_self_reported_gout	137776	3.62907908489142e-07
GIANT_HIP_Combined_EUR	137303	3.64158102881947e-07
UKB_20002_1289_self_reported_schizophrenia	137776	3.62907908489142e-07
GIANT_WHR_Combined_EUR	137395	3.6391426179992e-07
UKB_20002_1262_self_reported_parkinsons_disease	137776	3.62907908489142e-07
UKB_21001_Body_mass_index_BMI	137776	3.62907908489142e-07
UKB_6152_8_diagnosed_by_doctor_Asthma	137776	3.62907908489142e-07
Astle_et_al_2016_White_blood_cell_count	137885	3.62621024767016e-07
UKB_20002_1473_self_reported_high_cholesterol	137776	3.62907908489142e-07
UKB_20002_1461_self_reported_inflammatory_bowel_disease	137776	3.62907908489142e-07
Astle_et_al_2016_Platelet_count	137885	3.62621024767016e-07
Astle_et_al_2016_Neutrophil_count	137885	3.62621024767016e-07
EGG_BL	137403	3.63893073659236e-07
ISGC_Malik_2016_METASTROKE_all_strokes	137662	3.63208438058433e-07
UKB_20002_1463_self_reported_ulcerative_colitis	137776	3.62907908489142e-07
UKB_G40_Diagnoses_main_ICD10_G40_Epilepsy	137776	3.62907908489142e-07
Astle_et_al_2016_Myeloid_white_cell_count	137885	3.62621024767016e-07
SSGAC_Depressive_Symptoms	137742	3.62997488057383e-07
TAGC_Asthma_EUR	137576	3.6343548293307e-07
EGG_Pubertal_growth_12M	136786	3.6553448452327e-07
CNCR_Insomnia_all	137885	3.62621024767016e-07
UKB_20002_1462_self_reported_crohns_disease	137776	3.62907908489142e-07
