threshold	n	prop_a	prop_r	enloc_threshold	type
1e-30	913	0.0405453415045741	0.0405453415045741	0	from_gene
1	3323	0.14757083222311	1	0.5	from_gene
0.1	3099	0.137623234745537	0.932591032199819	0.5	from_gene
0.05	3051	0.135491606714628	0.918146253385495	0.5	from_gene
0.01	2964	0.131628030908606	0.891965091784532	0.5	from_gene
0.00102040816326531	2850	0.126565414335198	0.857658742100512	0.5	from_gene
0.001	2850	0.126565414335198	0.857658742100512	0.5	from_gene
1e-04	2704	0.120081712407851	0.813722539873608	0.5	from_gene
1e-05	2490	0.110578204103384	0.749322900993079	0.5	from_gene
1e-06	2084	0.092548183675282	0.627144146855251	0.5	from_gene
1e-07	1703	0.0756283861799449	0.512488715016551	0.5	from_gene
1e-08	1431	0.0635491606714628	0.430634968402046	0.5	from_gene
1e-09	1251	0.0555555555555556	0.37646704784833	0.5	from_gene
1e-10	1084	0.048139266364686	0.32621125489016	0.5	from_gene
1e-11	942	0.0418332001065814	0.283478784231116	0.5	from_gene
1e-12	822	0.0365041300293099	0.247366837195305	0.5	from_gene
1e-13	740	0.032862598809841	0.222690340054168	0.5	from_gene
1e-14	664	0.0294875210942357	0.199819440264821	0.5	from_gene
1e-15	597	0.0265121236344258	0.17965693650316	0.5	from_gene
1e-16	538	0.0238919975131006	0.161901895877219	0.5	from_gene
1e-17	494	0.0219380051514344	0.148660848630755	0.5	from_gene
1e-18	459	0.0203836930455636	0.138128197411977	0.5	from_gene
1e-19	430	0.0190958344435563	0.129401143544989	0.5	from_gene
1e-20	398	0.0176747490896172	0.119771291002107	0.5	from_gene
1e-21	375	0.0166533439914735	0.112849834486909	0.5	from_gene
1e-22	347	0.0154098943067768	0.104423713511887	0.5	from_gene
1e-23	329	0.0146105337951861	0.0990069214565152	0.5	from_gene
1e-24	311	0.0138111732835953	0.0935901294011435	0.5	from_gene
1e-25	298	0.0132338573585576	0.0896780018055973	0.5	from_gene
1e-26	284	0.0126121325162093	0.0854649413180861	0.5	from_gene
1e-27	271	0.0120348165911715	0.0815528137225399	0.5	from_gene
1e-28	259	0.0115019095834444	0.0779416190189588	0.5	from_gene
1e-29	244	0.0108357758237854	0.0734276256394824	0.5	from_gene
1e-30	236	0.0104805044853006	0.0710201625037617	0.5	from_gene
1	8411	0.373523403499423	1	0.1	from_gene
0.1	7663	0.340305533351097	0.911068838425871	0.1	from_gene
0.05	7537	0.334710009769962	0.896088455593865	0.1	from_gene
0.01	7258	0.322319921840306	0.862917607894424	0.1	from_gene
0.00102040816326531	6882	0.305622168931521	0.818214243252883	0.1	from_gene
0.001	6875	0.305311306510347	0.817381999762216	0.1	from_gene
1e-04	6343	0.28168576250111	0.754131494471525	0.1	from_gene
1e-05	5338	0.237054800603961	0.634645107597194	0.1	from_gene
1e-06	4223	0.187538857802647	0.502080608726667	0.1	from_gene
1e-07	3348	0.148681055155875	0.398050172393294	0.1	from_gene
1e-08	2781	0.123501199040767	0.330638449649269	0.1	from_gene
1e-09	2369	0.105204725108802	0.281654975627155	0.1	from_gene
1e-10	2062	0.0915711874944489	0.245155153965046	0.1	from_gene
1e-11	1818	0.0807354116706635	0.216145523718939	0.1	from_gene
1e-12	1594	0.07078781419309	0.189513732017596	0.1	from_gene
1e-13	1431	0.0635491606714628	0.170134347877779	0.1	from_gene
1e-14	1253	0.0556443733901767	0.14897158482939	0.1	from_gene
1e-15	1110	0.0492938982147615	0.131970039234336	0.1	from_gene
1e-16	1000	0.044408917310596	0.118891927238141	0.1	from_gene
1e-17	915	0.0406341593391953	0.108786113422899	0.1	from_gene
1e-18	842	0.0373923083755218	0.100107002734514	0.1	from_gene
1e-19	789	0.0350386357580602	0.0938057305908929	0.1	from_gene
1e-20	734	0.0325961453059774	0.0872666745927951	0.1	from_gene
1e-21	669	0.0297095656807887	0.079538699322316	0.1	from_gene
1e-22	621	0.0275779376498801	0.0738318868148853	0.1	from_gene
1e-23	587	0.0260680344613198	0.0697895612887885	0.1	from_gene
1e-24	550	0.0244249045208278	0.0653905599809773	0.1	from_gene
1e-25	518	0.0230038191668887	0.0615860183093568	0.1	from_gene
1e-26	499	0.0221600497379874	0.0593270716918321	0.1	from_gene
1e-27	475	0.0210942357225331	0.0564736654381168	0.1	from_gene
1e-28	449	0.0199396038724576	0.0533824753299251	0.1	from_gene
1e-29	424	0.0188293809396927	0.0504101771489716	0.1	from_gene
1e-30	413	0.0183408828492761	0.049102365949352	0.1	from_gene
1	16464	0.731148414601652	1	0	from_intron
0.1	15762	0.699973354649614	0.957361516034985	0	from_intron
0.05	15237	0.676658673061551	0.925473760932945	0	from_intron
0.01	13474	0.59836575184297	0.818391642371234	0	from_intron
0.00102040816326531	10577	0.469713118394174	0.642431972789116	0	from_intron
0.001	10557	0.468824940047962	0.641217201166181	0	from_intron
1e-04	8351	0.370858868460787	0.507227891156463	0	from_intron
1e-05	6759	0.300159872102318	0.410532069970845	0	from_intron
1e-06	5455	0.242250643929301	0.331328960155491	0	from_intron
1e-07	4494	0.199573674393818	0.272959183673469	0	from_intron
1e-08	3843	0.17066346922462	0.233418367346939	0	from_intron
1e-09	3294	0.146282973621103	0.200072886297376	0	from_intron
1e-10	2882	0.127986499689138	0.175048590864917	0	from_intron
1e-11	2525	0.112132516209255	0.15336491739553	0	from_intron
1e-12	2250	0.0999200639488409	0.136661807580175	0	from_intron
1e-13	1993	0.0885069722000178	0.121051992225462	0	from_intron
1e-14	1767	0.0784705568878231	0.107325072886297	0	from_intron
1e-15	1588	0.0705213606892264	0.0964528668610301	0	from_intron
1e-16	1445	0.0641708855138112	0.0877672497570457	0	from_intron
1e-17	1309	0.0581312727595701	0.0795068027210884	0	from_intron
1e-18	1208	0.0536459721111999	0.0733722060252673	0	from_intron
1e-19	1119	0.0496935784705569	0.067966472303207	0	from_intron
1e-20	1047	0.046496136424194	0.0635932944606414	0	from_intron
1e-21	990	0.04396482813749	0.060131195335277	0	from_intron
1e-22	933	0.041433519850786	0.0566690962099125	0	from_intron
1e-23	873	0.0387689848121503	0.0530247813411079	0	from_intron
1e-24	828	0.0367705835331735	0.0502915451895044	0	from_intron
1e-25	773	0.0343280930810907	0.0469509232264334	0	from_intron
1e-26	733	0.0325517363886668	0.0445213799805637	0	from_intron
1e-27	693	0.030775379696243	0.0420918367346939	0	from_intron
1e-28	656	0.029132249755751	0.0398445092322643	0	from_intron
1e-29	630	0.0279776179056755	0.038265306122449	0	from_intron
1e-30	608	0.0270006217248423	0.0369290573372206	0	from_intron
1	1116	0.0495603517186251	1	0.5	from_intron
0.1	1066	0.0473399058530953	0.955197132616487	0.5	from_intron
0.05	1058	0.0469846345146105	0.948028673835125	0.5	from_intron
0.01	1044	0.0463629096722622	0.935483870967742	0.5	from_intron
0.00102040816326531	1025	0.0455191402433609	0.918458781362007	0.5	from_intron
0.001	1025	0.0455191402433609	0.918458781362007	0.5	from_intron
1e-04	1001	0.0444533262279066	0.896953405017921	0.5	from_intron
1e-05	981	0.0435651478816946	0.879032258064516	0.5	from_intron
1e-06	861	0.0382360778044231	0.771505376344086	0.5	from_intron
1e-07	726	0.0322408739674927	0.650537634408602	0.5	from_intron
1e-08	620	0.0275335287325695	0.555555555555556	0.5	from_intron
1e-09	524	0.0232702726707523	0.469534050179211	0.5	from_intron
1e-10	459	0.0203836930455636	0.411290322580645	0.5	from_intron
1e-11	396	0.017585931254996	0.354838709677419	0.5	from_intron
1e-12	344	0.015276667554845	0.308243727598566	0.5	from_intron
1e-13	308	0.0136779465316636	0.275985663082437	0.5	from_intron
1e-14	275	0.0122124522604139	0.246415770609319	0.5	from_intron
1e-15	241	0.0107025490718536	0.21594982078853	0.5	from_intron
1e-16	222	0.0098587796429523	0.198924731182796	0.5	from_intron
1e-17	205	0.00910382804867217	0.183691756272401	0.5	from_intron
1e-18	194	0.00861532995825562	0.173835125448029	0.5	from_intron
1e-19	176	0.00781596944666489	0.157706093189964	0.5	from_intron
1e-20	167	0.00741628919086953	0.149641577060932	0.5	from_intron
1e-21	158	0.00701660893507416	0.1415770609319	0.5	from_intron
1e-22	151	0.00670574651389999	0.135304659498208	0.5	from_intron
1e-23	140	0.00621724842348344	0.125448028673835	0.5	from_intron
1e-24	134	0.00595079491961986	0.120071684587814	0.5	from_intron
1e-25	121	0.00537347899458211	0.1084229390681	0.5	from_intron
1e-26	117	0.00519584332533973	0.104838709677419	0.5	from_intron
1e-27	109	0.00484057198685496	0.0976702508960574	0.5	from_intron
1e-28	103	0.00457411848299139	0.0922939068100358	0.5	from_intron
1e-29	100	0.0044408917310596	0.0896057347670251	0.5	from_intron
1e-30	96	0.00426325606181721	0.0860215053763441	0.5	from_intron
1	3848	0.170885513811173	1	0.1	from_intron
0.1	3644	0.161826094679812	0.946985446985447	0.1	from_intron
0.05	3607	0.16018296473932	0.937370062370062	0.1	from_intron
0.01	3546	0.157474020783373	0.921517671517671	0.1	from_intron
0.00102040816326531	3466	0.153921307398526	0.900727650727651	0.1	from_intron
0.001	3466	0.153921307398526	0.900727650727651	0.1	from_intron
1e-04	3346	0.148592237321254	0.86954261954262	0.1	from_intron
1e-05	2945	0.130784261479705	0.76533264033264	0.1	from_intron
1e-06	2341	0.103961275424105	0.608367983367983	0.1	from_intron
1e-07	1854	0.0823341326938449	0.481808731808732	0.1	from_intron
1e-08	1531	0.0679900524025224	0.397869022869023	0.1	from_intron
1e-09	1281	0.0568878230748734	0.332900207900208	0.1	from_intron
1e-10	1095	0.0486277644551026	0.28456340956341	0.1	from_intron
1e-11	951	0.0422328803623768	0.247141372141372	0.1	from_intron
1e-12	827	0.0367261746158629	0.21491683991684	0.1	from_intron
1e-13	728	0.0323296918021139	0.189189189189189	0.1	from_intron
1e-14	637	0.0282884803268496	0.165540540540541	0.1	from_intron
1e-15	559	0.0248245847766231	0.14527027027027	0.1	from_intron
1e-16	511	0.0226929567457145	0.132796257796258	0.1	from_intron
1e-17	461	0.0204725108801847	0.119802494802495	0.1	from_intron
1e-18	430	0.0190958344435563	0.111746361746362	0.1	from_intron
1e-19	391	0.017363886668443	0.101611226611227	0.1	from_intron
1e-20	370	0.0164312994049205	0.0961538461538462	0.1	from_intron
1e-21	342	0.0151878497202238	0.0888773388773389	0.1	from_intron
1e-22	315	0.0139888089528377	0.0818607068607069	0.1	from_intron
1e-23	295	0.0131006306066258	0.0766632016632017	0.1	from_intron
1e-24	279	0.0123900879296563	0.0725051975051975	0.1	from_intron
1e-25	258	0.0114575006661338	0.0670478170478171	0.1	from_intron
1e-26	242	0.0107469579891642	0.0628898128898129	0.1	from_intron
1e-27	223	0.0099031885602629	0.057952182952183	0.1	from_intron
1e-28	213	0.00945909938715694	0.0553534303534304	0.1	from_intron
1e-29	207	0.00919264588329336	0.0537941787941788	0.1	from_intron
1e-30	202	0.00897060129674039	0.0524948024948025	0.1	from_intron
