phenotype	tissue	gene	gene_name	pvalue	rcp
Astle_et_al_2016_Eosinophil_counts	Adrenal_Gland	ENSG00000103066.12	PLA2G15	6.10999748720628e-10	0.869
Astle_et_al_2016_Eosinophil_counts	Adrenal_Gland	ENSG00000167468.16	GPX4	2.20690054771315e-09	0.948
Astle_et_al_2016_Eosinophil_counts	Adrenal_Gland	ENSG00000120158.11	RCL1	5.60302604684326e-08	0.888
Astle_et_al_2016_Eosinophil_counts	Artery_Aorta	ENSG00000137033.11	IL33	4.61001750642077e-111	0.816
Astle_et_al_2016_Eosinophil_counts	Artery_Aorta	ENSG00000077420.15	APBB1IP	5.63602599222216e-22	0.662
Astle_et_al_2016_Eosinophil_counts	Artery_Aorta	ENSG00000178409.13	BEND3	4.32225552332524e-21	0.802
Astle_et_al_2016_Eosinophil_counts	Artery_Aorta	ENSG00000149922.10	TBX6	9.35735858350013e-18	0.99
Astle_et_al_2016_Eosinophil_counts	Artery_Aorta	ENSG00000125755.18	SYMPK	1.12610985107339e-17	0.66
Astle_et_al_2016_Eosinophil_counts	Artery_Aorta	ENSG00000152804.10	HHEX	5.94179802696105e-16	0.91
Astle_et_al_2016_Eosinophil_counts	Artery_Aorta	ENSG00000030110.12	BAK1	6.21827908308446e-16	0.895
Astle_et_al_2016_Eosinophil_counts	Artery_Aorta	ENSG00000276791.1	CTD-2270P14.5	1.21999913380293e-14	0.674
Astle_et_al_2016_Eosinophil_counts	Artery_Aorta	ENSG00000100365.14	NCF4	4.98200511951214e-13	0.988
Astle_et_al_2016_Eosinophil_counts	Artery_Aorta	ENSG00000221869.4	CEBPD	6.26699296002868e-13	0.633
Astle_et_al_2016_Eosinophil_counts	Artery_Aorta	ENSG00000085274.15	MYNN	5.2350707734517e-12	0.597
Astle_et_al_2016_Eosinophil_counts	Artery_Aorta	ENSG00000103066.12	PLA2G15	1.37228611550379e-11	0.935
Astle_et_al_2016_Eosinophil_counts	Artery_Aorta	ENSG00000248489.1	LINC02062	2.0554341634433e-10	0.512
Astle_et_al_2016_Eosinophil_counts	Artery_Aorta	ENSG00000167468.16	GPX4	1.96951314680745e-09	0.947
Astle_et_al_2016_Eosinophil_counts	Artery_Aorta	ENSG00000128604.19	IRF5	6.29399451926765e-08	0.731
Astle_et_al_2016_Eosinophil_counts	Artery_Coronary	ENSG00000092067.5	CEBPE	5.60599878744855e-28	0.526
Astle_et_al_2016_Eosinophil_counts	Artery_Coronary	ENSG00000077420.15	APBB1IP	4.27994928389223e-22	0.599
Astle_et_al_2016_Eosinophil_counts	Artery_Coronary	ENSG00000134987.11	WDR36	4.41510567345063e-21	0.699
Astle_et_al_2016_Eosinophil_counts	Artery_Coronary	ENSG00000030110.12	BAK1	5.55800728857106e-17	0.875
Astle_et_al_2016_Eosinophil_counts	Artery_Coronary	ENSG00000105889.14	STEAP1B	8.85201549108518e-17	0.561
Astle_et_al_2016_Eosinophil_counts	Artery_Coronary	ENSG00000149922.10	TBX6	2.33351181873797e-15	0.988
Astle_et_al_2016_Eosinophil_counts	Artery_Coronary	ENSG00000276791.1	CTD-2270P14.5	1.21999913380294e-14	0.635
Astle_et_al_2016_Eosinophil_counts	Artery_Coronary	ENSG00000221869.4	CEBPD	6.26699296002868e-13	0.567
Astle_et_al_2016_Eosinophil_counts	Artery_Coronary	ENSG00000167468.16	GPX4	5.39922155958164e-10	0.916
Astle_et_al_2016_Eosinophil_counts	Artery_Coronary	ENSG00000103066.12	PLA2G15	6.10999748720628e-10	0.91
Astle_et_al_2016_Eosinophil_counts	Artery_Coronary	ENSG00000128604.19	IRF5	6.18879063387727e-08	0.705
Astle_et_al_2016_Eosinophil_counts	Artery_Tibial	ENSG00000196843.15	ARID5A	2.79889420363902e-30	0.541
Astle_et_al_2016_Eosinophil_counts	Artery_Tibial	ENSG00000077420.15	APBB1IP	4.13110881133118e-22	0.695
Astle_et_al_2016_Eosinophil_counts	Artery_Tibial	ENSG00000178409.13	BEND3	3.12500745926163e-21	0.906
Astle_et_al_2016_Eosinophil_counts	Artery_Tibial	ENSG00000125755.18	SYMPK	2.40749025524029e-19	0.664
Astle_et_al_2016_Eosinophil_counts	Artery_Tibial	ENSG00000149922.10	TBX6	8.96257862222573e-18	0.99
Astle_et_al_2016_Eosinophil_counts	Artery_Tibial	ENSG00000030110.12	BAK1	7.02930433203659e-17	0.884
Astle_et_al_2016_Eosinophil_counts	Artery_Tibial	ENSG00000276791.1	CTD-2270P14.5	1.8980028930922e-14	0.669
Astle_et_al_2016_Eosinophil_counts	Artery_Tibial	ENSG00000100365.14	NCF4	4.9820051195122e-13	0.972
Astle_et_al_2016_Eosinophil_counts	Artery_Tibial	ENSG00000149485.18	FADS1	8.76706814253094e-13	0.828
Astle_et_al_2016_Eosinophil_counts	Artery_Tibial	ENSG00000167468.16	GPX4	4.11339675341766e-10	0.947
Astle_et_al_2016_Eosinophil_counts	Artery_Tibial	ENSG00000103066.12	PLA2G15	3.06400052760675e-09	0.845
Astle_et_al_2016_Eosinophil_counts	Artery_Tibial	ENSG00000185112.5	FAM43A	3.2796412484428e-08	0.794
Astle_et_al_2016_Eosinophil_counts	Brain_Amygdala	ENSG00000149922.10	TBX6	5.29357768413219e-18	0.981
Astle_et_al_2016_Eosinophil_counts	Brain_Amygdala	ENSG00000030110.12	BAK1	5.55800728857118e-17	0.809
Astle_et_al_2016_Eosinophil_counts	Brain_Amygdala	ENSG00000125755.18	SYMPK	1.69718178946935e-15	0.509
Astle_et_al_2016_Eosinophil_counts	Brain_Amygdala	ENSG00000103355.13	PRSS33	5.96800671385282e-15	0.719
Astle_et_al_2016_Eosinophil_counts	Brain_Amygdala	ENSG00000221869.4	CEBPD	6.26699296002857e-13	0.588
Astle_et_al_2016_Eosinophil_counts	Brain_Amygdala	ENSG00000167468.16	GPX4	9.78900317432572e-12	0.738
Astle_et_al_2016_Eosinophil_counts	Brain_Anterior_cingulate_cortex_BA24	ENSG00000149922.10	TBX6	3.53964938975917e-18	0.988
Astle_et_al_2016_Eosinophil_counts	Brain_Anterior_cingulate_cortex_BA24	ENSG00000125755.18	SYMPK	4.33000250693021e-17	0.604
Astle_et_al_2016_Eosinophil_counts	Brain_Anterior_cingulate_cortex_BA24	ENSG00000030110.12	BAK1	9.56602534726916e-17	0.842
Astle_et_al_2016_Eosinophil_counts	Brain_Anterior_cingulate_cortex_BA24	ENSG00000276791.1	CTD-2270P14.5	1.8980028930922e-14	0.552
Astle_et_al_2016_Eosinophil_counts	Brain_Anterior_cingulate_cortex_BA24	ENSG00000091972.18	CD200	3.9630010061362e-13	0.596
Astle_et_al_2016_Eosinophil_counts	Brain_Anterior_cingulate_cortex_BA24	ENSG00000221869.4	CEBPD	6.26699296002857e-13	0.841
Astle_et_al_2016_Eosinophil_counts	Brain_Anterior_cingulate_cortex_BA24	ENSG00000103355.13	PRSS33	1.11899867416905e-12	0.667
Astle_et_al_2016_Eosinophil_counts	Brain_Anterior_cingulate_cortex_BA24	ENSG00000167468.16	GPX4	1.47535053978516e-11	0.93
Astle_et_al_2016_Eosinophil_counts	Brain_Caudate_basal_ganglia	ENSG00000125755.18	SYMPK	4.63617938369608e-22	0.713
Astle_et_al_2016_Eosinophil_counts	Brain_Caudate_basal_ganglia	ENSG00000077420.15	APBB1IP	4.98431304581956e-22	0.511
Astle_et_al_2016_Eosinophil_counts	Brain_Caudate_basal_ganglia	ENSG00000149922.10	TBX6	9.65726404380884e-19	0.991
Astle_et_al_2016_Eosinophil_counts	Brain_Caudate_basal_ganglia	ENSG00000030110.12	BAK1	7.89940988202379e-18	0.91
Astle_et_al_2016_Eosinophil_counts	Brain_Caudate_basal_ganglia	ENSG00000103355.13	PRSS33	5.55600068260535e-15	0.826
Astle_et_al_2016_Eosinophil_counts	Brain_Caudate_basal_ganglia	ENSG00000276791.1	CTD-2270P14.5	1.21999913380293e-14	0.611
Astle_et_al_2016_Eosinophil_counts	Brain_Caudate_basal_ganglia	ENSG00000221869.4	CEBPD	6.26699296002868e-13	0.962
Astle_et_al_2016_Eosinophil_counts	Brain_Caudate_basal_ganglia	ENSG00000149485.18	FADS1	4.16722226715122e-12	0.77
Astle_et_al_2016_Eosinophil_counts	Brain_Caudate_basal_ganglia	ENSG00000267898.1	CTD-2639E6.9	4.07900319366183e-10	0.821
Astle_et_al_2016_Eosinophil_counts	Brain_Caudate_basal_ganglia	ENSG00000196843.15	ARID5A	4.1546318496777e-10	0.945
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellar_Hemisphere	ENSG00000109787.12	KLF3	3.45799556774263e-48	0.675
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellar_Hemisphere	ENSG00000149922.10	TBX6	3.9919660961061e-17	0.94
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellar_Hemisphere	ENSG00000030110.12	BAK1	5.55800728857118e-17	0.841
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellar_Hemisphere	ENSG00000255328.1	RP11-326C3.12	1.63400628876062e-16	0.558
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellar_Hemisphere	ENSG00000276791.1	CTD-2270P14.5	4.47699802161556e-14	0.646
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellar_Hemisphere	ENSG00000091972.18	CD200	3.96300100613616e-13	0.591
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellar_Hemisphere	ENSG00000221869.4	CEBPD	6.26699296002863e-13	0.902
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellar_Hemisphere	ENSG00000134824.13	FADS2	2.55400349068087e-12	0.677
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellar_Hemisphere	ENSG00000077238.13	IL4R	6.0728121159509e-12	0.862
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellar_Hemisphere	ENSG00000167468.16	GPX4	6.62708564155611e-12	0.936
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellum	ENSG00000204642.13	HLA-F	1.22698441386714e-51	0.501
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellum	ENSG00000030110.12	BAK1	5.55800728857118e-17	0.874
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellum	ENSG00000276791.1	CTD-2270P14.5	2.2430006091282e-13	0.562
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellum	ENSG00000221869.4	CEBPD	6.26699296002857e-13	0.799
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellum	ENSG00000134824.13	FADS2	2.55400349068085e-12	0.614
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellum	ENSG00000167468.16	GPX4	3.16770976715306e-11	0.948
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellum	ENSG00000149922.10	TBX6	8.25483990619887e-11	0.99
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellum	ENSG00000125755.18	SYMPK	4.4259609530001e-10	0.681
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellum	ENSG00000149485.18	FADS1	4.56363048565343e-10	0.754
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellum	ENSG00000072736.18	NFATC3	5.65699751638595e-08	0.562
Astle_et_al_2016_Eosinophil_counts	Brain_Cortex	ENSG00000149922.10	TBX6	1.43911627572543e-17	0.988
Astle_et_al_2016_Eosinophil_counts	Brain_Cortex	ENSG00000125755.18	SYMPK	4.33000250693014e-17	0.647
Astle_et_al_2016_Eosinophil_counts	Brain_Cortex	ENSG00000030110.12	BAK1	4.61429035816073e-17	0.871
Astle_et_al_2016_Eosinophil_counts	Brain_Cortex	ENSG00000276791.1	CTD-2270P14.5	1.8980028930922e-14	0.57
Astle_et_al_2016_Eosinophil_counts	Brain_Cortex	ENSG00000221869.4	CEBPD	6.26699296002863e-13	0.865
Astle_et_al_2016_Eosinophil_counts	Brain_Cortex	ENSG00000167468.16	GPX4	1.22172639136962e-11	0.925
Astle_et_al_2016_Eosinophil_counts	Brain_Cortex	ENSG00000149485.18	FADS1	2.27003482085988e-11	0.759
Astle_et_al_2016_Eosinophil_counts	Brain_Frontal_Cortex_BA9	ENSG00000149922.10	TBX6	3.47635788644974e-18	0.987
Astle_et_al_2016_Eosinophil_counts	Brain_Frontal_Cortex_BA9	ENSG00000030110.12	BAK1	1.38858622326779e-17	0.854
Astle_et_al_2016_Eosinophil_counts	Brain_Frontal_Cortex_BA9	ENSG00000125755.18	SYMPK	4.33000250693014e-17	0.554
Astle_et_al_2016_Eosinophil_counts	Brain_Frontal_Cortex_BA9	ENSG00000276791.1	CTD-2270P14.5	1.8980028930922e-14	0.585
Astle_et_al_2016_Eosinophil_counts	Brain_Frontal_Cortex_BA9	ENSG00000221869.4	CEBPD	6.26699296002868e-13	0.556
Astle_et_al_2016_Eosinophil_counts	Brain_Frontal_Cortex_BA9	ENSG00000085274.15	MYNN	3.6180032134137e-12	0.631
Astle_et_al_2016_Eosinophil_counts	Brain_Frontal_Cortex_BA9	ENSG00000149485.18	FADS1	5.62576084364843e-10	0.703
Astle_et_al_2016_Eosinophil_counts	Brain_Hippocampus	ENSG00000198121.13	LPAR1	1.14800099530365e-19	0.528
Astle_et_al_2016_Eosinophil_counts	Brain_Hippocampus	ENSG00000149922.10	TBX6	4.67421712614165e-18	0.984
Astle_et_al_2016_Eosinophil_counts	Brain_Hippocampus	ENSG00000125755.18	SYMPK	4.33000250693014e-17	0.548
Astle_et_al_2016_Eosinophil_counts	Brain_Hippocampus	ENSG00000030110.12	BAK1	5.55800728857122e-17	0.81
Astle_et_al_2016_Eosinophil_counts	Brain_Hippocampus	ENSG00000149485.18	FADS1	6.55867104261404e-10	0.594
Astle_et_al_2016_Eosinophil_counts	Brain_Hypothalamus	ENSG00000149922.10	TBX6	1.7821593497558e-17	0.988
Astle_et_al_2016_Eosinophil_counts	Brain_Hypothalamus	ENSG00000030110.12	BAK1	5.34754197541597e-17	0.881
Astle_et_al_2016_Eosinophil_counts	Brain_Hypothalamus	ENSG00000281162.2	LINC01127	1.70183944669897e-15	0.732
Astle_et_al_2016_Eosinophil_counts	Brain_Hypothalamus	ENSG00000221869.4	CEBPD	6.26699296002863e-13	0.667
Astle_et_al_2016_Eosinophil_counts	Brain_Hypothalamus	ENSG00000167468.16	GPX4	1.7189248468904e-11	0.922
Astle_et_al_2016_Eosinophil_counts	Brain_Hypothalamus	ENSG00000120158.11	RCL1	1.27299979333035e-08	0.71
Astle_et_al_2016_Eosinophil_counts	Brain_Nucleus_accumbens_basal_ganglia	ENSG00000077420.15	APBB1IP	5.63602599222216e-22	0.634
Astle_et_al_2016_Eosinophil_counts	Brain_Nucleus_accumbens_basal_ganglia	ENSG00000125755.18	SYMPK	9.81583541200745e-22	0.685
Astle_et_al_2016_Eosinophil_counts	Brain_Nucleus_accumbens_basal_ganglia	ENSG00000149922.10	TBX6	9.82508273845303e-18	0.991
Astle_et_al_2016_Eosinophil_counts	Brain_Nucleus_accumbens_basal_ganglia	ENSG00000030110.12	BAK1	5.06808919521825e-17	0.897
Astle_et_al_2016_Eosinophil_counts	Brain_Nucleus_accumbens_basal_ganglia	ENSG00000276791.1	CTD-2270P14.5	2.2430006091282e-13	0.603
Astle_et_al_2016_Eosinophil_counts	Brain_Nucleus_accumbens_basal_ganglia	ENSG00000221869.4	CEBPD	6.26699296002857e-13	0.911
Astle_et_al_2016_Eosinophil_counts	Brain_Nucleus_accumbens_basal_ganglia	ENSG00000167468.16	GPX4	3.25873196121438e-12	0.949
Astle_et_al_2016_Eosinophil_counts	Brain_Nucleus_accumbens_basal_ganglia	ENSG00000118640.10	VAMP8	5.23699339277439e-08	0.521
Astle_et_al_2016_Eosinophil_counts	Brain_Putamen_basal_ganglia	ENSG00000178409.13	BEND3	3.12500745926154e-21	0.839
Astle_et_al_2016_Eosinophil_counts	Brain_Putamen_basal_ganglia	ENSG00000149922.10	TBX6	4.53241394558893e-18	0.989
Astle_et_al_2016_Eosinophil_counts	Brain_Putamen_basal_ganglia	ENSG00000030110.12	BAK1	2.03880665526325e-17	0.934
Astle_et_al_2016_Eosinophil_counts	Brain_Putamen_basal_ganglia	ENSG00000125755.18	SYMPK	3.54852670823141e-17	0.666
Astle_et_al_2016_Eosinophil_counts	Brain_Putamen_basal_ganglia	ENSG00000276791.1	CTD-2270P14.5	1.8980028930922e-14	0.578
Astle_et_al_2016_Eosinophil_counts	Brain_Putamen_basal_ganglia	ENSG00000221869.4	CEBPD	6.26699296002857e-13	0.942
Astle_et_al_2016_Eosinophil_counts	Brain_Putamen_basal_ganglia	ENSG00000149485.18	FADS1	9.41885706014789e-13	0.778
Astle_et_al_2016_Eosinophil_counts	Brain_Putamen_basal_ganglia	ENSG00000184378.2	ACTRT3	6.93593406323664e-12	0.642
Astle_et_al_2016_Eosinophil_counts	Brain_Putamen_basal_ganglia	ENSG00000167468.16	GPX4	1.76467867491627e-11	0.897
Astle_et_al_2016_Eosinophil_counts	Brain_Putamen_basal_ganglia	ENSG00000134987.11	WDR36	3.26482360762118e-11	0.868
Astle_et_al_2016_Eosinophil_counts	Brain_Spinal_cord_cervical_c-1	ENSG00000109787.12	KLF3	3.45799556774278e-48	0.535
Astle_et_al_2016_Eosinophil_counts	Brain_Spinal_cord_cervical_c-1	ENSG00000149922.10	TBX6	4.20404986486313e-17	0.981
Astle_et_al_2016_Eosinophil_counts	Brain_Spinal_cord_cervical_c-1	ENSG00000125755.18	SYMPK	4.33000250693014e-17	0.638
Astle_et_al_2016_Eosinophil_counts	Brain_Spinal_cord_cervical_c-1	ENSG00000030110.12	BAK1	2.50723094180376e-16	0.871
Astle_et_al_2016_Eosinophil_counts	Brain_Spinal_cord_cervical_c-1	ENSG00000281162.2	LINC01127	1.5924640853006e-13	0.573
Astle_et_al_2016_Eosinophil_counts	Brain_Spinal_cord_cervical_c-1	ENSG00000153094.22	BCL2L11	2.4951658687453e-13	0.535
Astle_et_al_2016_Eosinophil_counts	Brain_Spinal_cord_cervical_c-1	ENSG00000167468.16	GPX4	3.62604679375668e-11	0.691
Astle_et_al_2016_Eosinophil_counts	Brain_Substantia_nigra	ENSG00000149922.10	TBX6	1.84289980983357e-17	0.949
Astle_et_al_2016_Eosinophil_counts	Breast_Mammary_Tissue	ENSG00000077420.15	APBB1IP	4.98431304581956e-22	0.712
Astle_et_al_2016_Eosinophil_counts	Breast_Mammary_Tissue	ENSG00000125755.18	SYMPK	2.5334042510176e-20	0.712
Astle_et_al_2016_Eosinophil_counts	Breast_Mammary_Tissue	ENSG00000030110.12	BAK1	7.37503301310916e-17	0.908
Astle_et_al_2016_Eosinophil_counts	Breast_Mammary_Tissue	ENSG00000149922.10	TBX6	8.67768675407398e-16	0.991
Astle_et_al_2016_Eosinophil_counts	Breast_Mammary_Tissue	ENSG00000276791.1	CTD-2270P14.5	1.8980028930922e-14	0.696
Astle_et_al_2016_Eosinophil_counts	Breast_Mammary_Tissue	ENSG00000152804.10	HHEX	1.09437856613201e-13	0.555
Astle_et_al_2016_Eosinophil_counts	Breast_Mammary_Tissue	ENSG00000221869.4	CEBPD	6.26699296002857e-13	0.533
Astle_et_al_2016_Eosinophil_counts	Breast_Mammary_Tissue	ENSG00000167468.16	GPX4	1.77887082275229e-09	0.944
Astle_et_al_2016_Eosinophil_counts	Breast_Mammary_Tissue	ENSG00000103066.12	PLA2G15	4.35200443064478e-08	0.682
Astle_et_al_2016_Eosinophil_counts	Cells_Cultured_fibroblasts	ENSG00000109787.12	KLF3	3.45799556774288e-48	0.54
Astle_et_al_2016_Eosinophil_counts	Cells_Cultured_fibroblasts	ENSG00000077420.15	APBB1IP	7.02495436368591e-26	0.696
Astle_et_al_2016_Eosinophil_counts	Cells_Cultured_fibroblasts	ENSG00000125755.18	SYMPK	2.6643021018915e-20	0.709
Astle_et_al_2016_Eosinophil_counts	Cells_Cultured_fibroblasts	ENSG00000030110.12	BAK1	1.97515774021732e-16	0.901
Astle_et_al_2016_Eosinophil_counts	Cells_Cultured_fibroblasts	ENSG00000149922.10	TBX6	7.13631821755182e-16	0.991
Astle_et_al_2016_Eosinophil_counts	Cells_Cultured_fibroblasts	ENSG00000152804.10	HHEX	6.79631052231222e-15	0.638
Astle_et_al_2016_Eosinophil_counts	Cells_Cultured_fibroblasts	ENSG00000221869.4	CEBPD	6.26699296002868e-13	0.57
Astle_et_al_2016_Eosinophil_counts	Cells_Cultured_fibroblasts	ENSG00000184378.2	ACTRT3	2.06064873887358e-12	0.824
Astle_et_al_2016_Eosinophil_counts	Cells_Cultured_fibroblasts	ENSG00000167468.16	GPX4	3.72006547352638e-11	0.955
Astle_et_al_2016_Eosinophil_counts	Cells_Cultured_fibroblasts	ENSG00000087088.19	BAX	5.73799872633652e-10	0.816
Astle_et_al_2016_Eosinophil_counts	Cells_Cultured_fibroblasts	ENSG00000111328.6	CDK2AP1	1.78223556475186e-08	0.525
Astle_et_al_2016_Eosinophil_counts	Cells_Cultured_fibroblasts	ENSG00000128604.19	IRF5	2.24900227357072e-08	0.9
Astle_et_al_2016_Eosinophil_counts	Cells_EBV-transformed_lymphocytes	ENSG00000228889.6	UBAC2-AS1	2.36599781971848e-18	0.88
Astle_et_al_2016_Eosinophil_counts	Cells_EBV-transformed_lymphocytes	ENSG00000125755.18	SYMPK	1.75461179590904e-17	0.788
Astle_et_al_2016_Eosinophil_counts	Cells_EBV-transformed_lymphocytes	ENSG00000030110.12	BAK1	5.55800728857118e-17	0.941
Astle_et_al_2016_Eosinophil_counts	Cells_EBV-transformed_lymphocytes	ENSG00000149922.10	TBX6	5.77814671301983e-16	0.993
Astle_et_al_2016_Eosinophil_counts	Cells_EBV-transformed_lymphocytes	ENSG00000221869.4	CEBPD	6.26699296002868e-13	0.958
Astle_et_al_2016_Eosinophil_counts	Cells_EBV-transformed_lymphocytes	ENSG00000269667.1	RP11-542M13.2	4.15699754957573e-09	0.68
Astle_et_al_2016_Eosinophil_counts	Cells_EBV-transformed_lymphocytes	ENSG00000167468.16	GPX4	4.57955085403824e-09	0.866
Astle_et_al_2016_Eosinophil_counts	Cells_EBV-transformed_lymphocytes	ENSG00000102886.14	GDPD3	7.22643653197011e-09	0.987
Astle_et_al_2016_Eosinophil_counts	Cells_EBV-transformed_lymphocytes	ENSG00000112339.14	HBS1L	7.56894341170933e-09	0.731
Astle_et_al_2016_Eosinophil_counts	Cells_EBV-transformed_lymphocytes	ENSG00000120158.11	RCL1	1.27299979333034e-08	0.878
Astle_et_al_2016_Eosinophil_counts	Colon_Sigmoid	ENSG00000149922.10	TBX6	3.56123180981343e-18	0.989
Astle_et_al_2016_Eosinophil_counts	Colon_Sigmoid	ENSG00000030110.12	BAK1	5.55800728857122e-17	0.867
Astle_et_al_2016_Eosinophil_counts	Colon_Sigmoid	ENSG00000152804.10	HHEX	8.81424644089876e-15	0.802
Astle_et_al_2016_Eosinophil_counts	Colon_Sigmoid	ENSG00000276791.1	CTD-2270P14.5	1.21999913380293e-14	0.654
Astle_et_al_2016_Eosinophil_counts	Colon_Sigmoid	ENSG00000100365.14	NCF4	7.49400166540781e-13	0.956
