tissue phenotype rcp_threshold concordance_pearson concordance_spearman n ld_median ld_1st_quartile ld_3rd_quartile
Artery_Coronary Astle_et_al_2016_Eosinophil_counts 0 0.158839351263745 0.160695743174046 1881 0.048976779779061 0.0127390042491782 0.164984946349175
Artery_Coronary Astle_et_al_2016_Eosinophil_counts 0.01 0.533843699579702 0.571506729401466 38 0.0458405799747545 0.0155237044190395 0.202910107855007
Artery_Coronary Astle_et_al_2016_Eosinophil_counts 0.05 0.317230389623658 0.333333333333333 10 0.0218333318198955 0.00982168858198269 0.222358890053879
Artery_Coronary Astle_et_al_2016_Eosinophil_counts 0.1 NA NA 1 0.0825060506645569 0.0825060506645569 0.0825060506645569
Artery_Tibial Astle_et_al_2016_Eosinophil_counts 0 0.122730191316195 0.162403737014038 6307 0.0443296927348366 0.00946360419532909 0.177518063659103
Artery_Tibial Astle_et_al_2016_Eosinophil_counts 0.01 0.376494641075584 0.415566764782555 168 0.0691208300023469 0.012715122155913 0.311169584365986
Artery_Tibial Astle_et_al_2016_Eosinophil_counts 0.05 0.459398845650402 0.47057745187901 32 0.0453066910973642 0.0101641014274599 0.327548680345081
Artery_Tibial Astle_et_al_2016_Eosinophil_counts 0.1 0.392770947236203 0.416666666666667 17 0.0361091920333185 0.0106957471726954 0.188181689243774
Artery_Tibial Astle_et_al_2016_Eosinophil_counts 0.2 0.608586382147991 0.618181818181818 11 0.0599961829395778 0.0141075464197022 0.276389335077035
Artery_Tibial Astle_et_al_2016_Eosinophil_counts 0.5 NA NA 1 0.985942198963842 0.985942198963842 0.985942198963842
Brain_Amygdala Astle_et_al_2016_Eosinophil_counts 0 0.150457079199119 0.184068920076912 884 0.0503184248492278 0.014376847034027 0.189886624772315
Brain_Amygdala Astle_et_al_2016_Eosinophil_counts 0.01 0.34893163079182 0.258999122036874 19 0.0333796012374191 0.0137546377211273 0.174529707271591
Brain_Amygdala Astle_et_al_2016_Eosinophil_counts 0.05 1 1 2 0.0655118493651906 0.0330424649340899 0.0979812337962913
Brain_Anterior_cingulate_cortex_BA24 Astle_et_al_2016_Eosinophil_counts 0 0.136733992458212 0.159126493416123 1235 0.0587418921556306 0.015642932838695 0.16834016936932
Brain_Anterior_cingulate_cortex_BA24 Astle_et_al_2016_Eosinophil_counts 0.01 0.636489393889761 0.621247113163972 25 0.0380849912996259 0.0121056072524982 0.21018964416311
Brain_Anterior_cingulate_cortex_BA24 Astle_et_al_2016_Eosinophil_counts 0.05 0.824273630658131 0.904761904761905 8 0.0562241343479502 0.0296272718025061 0.111583963463221
Brain_Anterior_cingulate_cortex_BA24 Astle_et_al_2016_Eosinophil_counts 0.1 NA NA 1 0.0469393192126404 0.0469393192126404 0.0469393192126404
Brain_Anterior_cingulate_cortex_BA24 Astle_et_al_2016_Eosinophil_counts 0.2 NA NA 1 0.0469393192126404 0.0469393192126404 0.0469393192126404
Brain_Caudate_basal_ganglia Astle_et_al_2016_Eosinophil_counts 0 0.143523867922243 0.171101207564464 2712 0.0376440524438543 0.00983594233031643 0.136368679459085
Brain_Caudate_basal_ganglia Astle_et_al_2016_Eosinophil_counts 0.01 0.479797820205902 0.486999311490017 84 0.0463572218802387 0.0136998188156993 0.186940756431957
Brain_Caudate_basal_ganglia Astle_et_al_2016_Eosinophil_counts 0.05 0.267060396897565 0.254135338345865 20 0.0606638136502179 0.0358205870591287 0.215710227071994
Brain_Caudate_basal_ganglia Astle_et_al_2016_Eosinophil_counts 0.1 0.0795137151746862 0.167832167832168 12 0.0526281111419579 0.011014655513692 0.110034713802798
Brain_Caudate_basal_ganglia Astle_et_al_2016_Eosinophil_counts 0.2 -0.341863063523534 -0.0857142857142857 6 0.0306264296175626 0.00398122718439397 0.0589928729750305
Brain_Caudate_basal_ganglia Astle_et_al_2016_Eosinophil_counts 0.5 -0.537139809205823 -0.5 3 0.000537122905030364 0.000274924978971834 0.0794322449263692
Brain_Cerebellar_Hemisphere Astle_et_al_2016_Eosinophil_counts 0 0.0982155298710018 0.119806553183705 3363 0.0382857095629629 0.00846764576864381 0.135733632387688
Brain_Cerebellar_Hemisphere Astle_et_al_2016_Eosinophil_counts 0.01 0.170977206798887 0.162946569712298 78 0.0342012249421155 0.0137643041955702 0.117403695338821
Brain_Cerebellar_Hemisphere Astle_et_al_2016_Eosinophil_counts 0.05 0.384500026665231 0.355906696764484 20 0.103606362345619 0.0391335567522736 0.220398710232972
Brain_Cerebellar_Hemisphere Astle_et_al_2016_Eosinophil_counts 0.1 -0.181577576031865 -0.414634146341464 10 0.0453710274335432 0.0258326293330399 0.126674844241125
Brain_Cerebellar_Hemisphere Astle_et_al_2016_Eosinophil_counts 0.2 -0.332920748380122 -0.485714285714286 6 0.0883298914682532 0.0438838203326676 0.160810854891092
Brain_Cerebellar_Hemisphere Astle_et_al_2016_Eosinophil_counts 0.5 0.111879011258566 0.5 3 0.171643026087719 0.149978683694465 0.197653252879865
Brain_Cerebellum Astle_et_al_2016_Eosinophil_counts 0 0.165118388577574 0.18313239665241 4076 0.0391161702682995 0.00830958570572924 0.148058782808084
Brain_Cerebellum Astle_et_al_2016_Eosinophil_counts 0.01 0.490999011032269 0.500966202626494 77 0.0417901980570045 0.0104433417618496 0.188787927280536
Brain_Cerebellum Astle_et_al_2016_Eosinophil_counts 0.05 0.748921548395498 0.746086956521739 24 0.111830114007577 0.00710673531057981 0.194910449651523
Brain_Cerebellum Astle_et_al_2016_Eosinophil_counts 0.1 0.867094424285668 0.80952380952381 8 0.159889411435508 0.10618744181449 0.237541274415323
Brain_Cerebellum Astle_et_al_2016_Eosinophil_counts 0.2 0.832272333043925 0.8 4 0.159889411435508 0.0999855761671032 0.218787599211001
Brain_Cerebellum Astle_et_al_2016_Eosinophil_counts 0.5 0.999390728205901 1 3 0.188273116492055 0.159889411435508 0.249302081929948
Brain_Cortex Astle_et_al_2016_Eosinophil_counts 0 0.126313786861768 0.168243461846031 2976 0.0472351734128232 0.0105092648994014 0.154535081858085
Brain_Cortex Astle_et_al_2016_Eosinophil_counts 0.01 0.223850407307481 0.229429699409764 85 0.0471754189823301 0.0122631108717998 0.162203764108316
Brain_Cortex Astle_et_al_2016_Eosinophil_counts 0.05 0.335399047780816 0.31038961038961 21 0.0469393192126404 0.0211487343018318 0.130450618227392
Brain_Cortex Astle_et_al_2016_Eosinophil_counts 0.1 0.275754581007931 0.3 9 0.0355745026863356 0.0211487343018318 0.0469393192126404
Brain_Cortex Astle_et_al_2016_Eosinophil_counts 0.2 0.573557256919306 0.2 4 0.035865264571842 0.0302634806920186 0.0405564295443624
Brain_Frontal_Cortex_BA9 Astle_et_al_2016_Eosinophil_counts 0 0.116235107373129 0.129840892724906 2388 0.0480477437378735 0.0117587627206775 0.142943480946969
Brain_Frontal_Cortex_BA9 Astle_et_al_2016_Eosinophil_counts 0.01 0.503013529275523 0.496700178868809 46 0.0526219339573446 0.0117837358393439 0.188752378157392
Brain_Frontal_Cortex_BA9 Astle_et_al_2016_Eosinophil_counts 0.05 0.654592594993606 0.609090909090909 11 0.0469393192126404 0.0372076379387317 0.165818379174645
Brain_Frontal_Cortex_BA9 Astle_et_al_2016_Eosinophil_counts 0.1 0.860040744708734 0.5 3 0.0469393192126404 0.0240286605999769 0.135442445917944
Brain_Frontal_Cortex_BA9 Astle_et_al_2016_Eosinophil_counts 0.2 -1 -1 2 0.135442445917944 0.0911908825652921 0.179694009270595
Brain_Hippocampus Astle_et_al_2016_Eosinophil_counts 0 0.144799021175313 0.167536634265324 1560 0.0442411968722256 0.00957746767070907 0.140697578274501
Brain_Hippocampus Astle_et_al_2016_Eosinophil_counts 0.01 0.484519451242705 0.445812807881773 29 0.058413561344433 0.0120870889795566 0.148664088341051
Brain_Hippocampus Astle_et_al_2016_Eosinophil_counts 0.05 0.758974029979023 0.542857142857143 6 0.0431175673802022 0.0210490770429001 0.0693882277383183
Brain_Hippocampus Astle_et_al_2016_Eosinophil_counts 0.1 1 1 2 0.0308532895133855 0.0228851138114386 0.0388214652153323
Brain_Hippocampus Astle_et_al_2016_Eosinophil_counts 0.2 NA NA 1 0.0467896409172791 0.0467896409172791 0.0467896409172791
Brain_Hypothalamus Astle_et_al_2016_Eosinophil_counts 0 0.155353481694092 0.16171554960689 1576 0.0529888939234339 0.0132798166485476 0.151079968312695
Brain_Hypothalamus Astle_et_al_2016_Eosinophil_counts 0.01 0.443247420195476 0.467734757454384 30 0.0727364573510225 0.0227141028636869 0.263818686197021
Brain_Hypothalamus Astle_et_al_2016_Eosinophil_counts 0.05 0.189548291888924 0.454545454545455 11 0.0583169030712754 0.0151061071100495 0.091642319306256
Brain_Hypothalamus Astle_et_al_2016_Eosinophil_counts 0.1 0.74012209840023 0.75 7 0.0583169030712754 0.0389813234886554 0.091642319306256
Brain_Hypothalamus Astle_et_al_2016_Eosinophil_counts 0.2 0.964964042446007 1 3 0.0501068615247724 0.0389813234886554 0.0710865312667308
Brain_Hypothalamus Astle_et_al_2016_Eosinophil_counts 0.5 NA NA 1 0.0278557854525384 0.0278557854525384 0.0278557854525384
Brain_Nucleus_accumbens_basal_ganglia Astle_et_al_2016_Eosinophil_counts 0 0.180706056449243 0.215832641317093 2391 0.0468090856525901 0.00938509794432983 0.166247358084147
Brain_Nucleus_accumbens_basal_ganglia Astle_et_al_2016_Eosinophil_counts 0.01 0.478954608026574 0.469402824354675 58 0.0591107246930317 0.0139664545873358 0.219416446556754
Brain_Nucleus_accumbens_basal_ganglia Astle_et_al_2016_Eosinophil_counts 0.05 0.439638256692907 0.278571428571429 15 0.0467896409172791 0.00128615756154328 0.171150842060953
Brain_Nucleus_accumbens_basal_ganglia Astle_et_al_2016_Eosinophil_counts 0.1 0.938833093845602 0.5 3 0.0469393192126404 0.0468644800649597 0.220113362075284
Brain_Nucleus_accumbens_basal_ganglia Astle_et_al_2016_Eosinophil_counts 0.2 0.938833093845602 0.5 3 0.0469393192126404 0.0468644800649597 0.220113362075284
Brain_Nucleus_accumbens_basal_ganglia Astle_et_al_2016_Eosinophil_counts 0.5 1 1 2 0.220038522927603 0.133414081922441 0.306662963932765
Brain_Putamen_basal_ganglia Astle_et_al_2016_Eosinophil_counts 0 0.109459609380166 0.12819577422735 2154 0.0467661820906572 0.0113245492599712 0.137945012957107
Brain_Putamen_basal_ganglia Astle_et_al_2016_Eosinophil_counts 0.01 0.490265049451497 0.524619840695148 51 0.0889961250773419 0.0113147640688671 0.195095028750787
Brain_Putamen_basal_ganglia Astle_et_al_2016_Eosinophil_counts 0.05 0.0661043542329603 -0.17032967032967 13 0.0544854352176303 0.00891300223329603 0.103073686700593
Brain_Putamen_basal_ganglia Astle_et_al_2016_Eosinophil_counts 0.1 -0.93549891081361 -0.8 4 0.0630934615923398 0.0261689626269834 0.0962876740761237
Brain_Putamen_basal_ganglia Astle_et_al_2016_Eosinophil_counts 0.2 -1 -1 2 0.0676174700086527 0.0498893616626826 0.0853455783546229
Brain_Spinal_cord_cervical_c-1 Astle_et_al_2016_Eosinophil_counts 0 0.103804660744984 0.14770934907957 1155 0.0502507023203347 0.0115405033647147 0.141152460032731
Brain_Spinal_cord_cervical_c-1 Astle_et_al_2016_Eosinophil_counts 0.01 0.116762575512848 0.0730647048988463 33 0.0425102600383006 0.0287922431833622 0.0723318329191288
Brain_Spinal_cord_cervical_c-1 Astle_et_al_2016_Eosinophil_counts 0.05 0.167907951625969 0.16043956043956 14 0.0379373181694353 0.0291537084591674 0.058022947376499
Brain_Spinal_cord_cervical_c-1 Astle_et_al_2016_Eosinophil_counts 0.1 1 1 2 0.0215345458445589 0.013406996247216 0.0296620954419018
Brain_Substantia_nigra Astle_et_al_2016_Eosinophil_counts 0 0.162233303050312 0.16840482242613 703 0.0656243629673401 0.016149237166054 0.15838782401773
Brain_Substantia_nigra Astle_et_al_2016_Eosinophil_counts 0.01 0.456275097900937 0.456043956043956 13 0.0225957310255598 0.0141295901303795 0.0795090213484488
Brain_Substantia_nigra Astle_et_al_2016_Eosinophil_counts 0.05 0.678694576705188 0.5 3 0.0225957310255598 0.0115844057642745 0.0502747401894921
Breast_Mammary_Tissue Astle_et_al_2016_Eosinophil_counts 0 0.134307534107298 0.16776491853958 3813 0.0524466617831996 0.0126096008919705 0.178284307999039
Breast_Mammary_Tissue Astle_et_al_2016_Eosinophil_counts 0.01 0.365634010697748 0.369808999747383 103 0.0785707494937659 0.020580540517404 0.183691634485649
Breast_Mammary_Tissue Astle_et_al_2016_Eosinophil_counts 0.05 0.37681876440474 0.338461538461538 25 0.0813161425945349 0.0312599887260944 0.178857596137203
Breast_Mammary_Tissue Astle_et_al_2016_Eosinophil_counts 0.1 0.457235927475564 0.518181818181818 11 0.089595341212825 0.0271836983318496 0.201401584380225
Breast_Mammary_Tissue Astle_et_al_2016_Eosinophil_counts 0.2 0.84525333211307 0.771428571428571 6 0.112898457674922 0.012401390009724 0.212673578501736
Breast_Mammary_Tissue Astle_et_al_2016_Eosinophil_counts 0.5 1 1 2 0.142747035890463 0.0718178914162739 0.213676180364651
Cells_Cultured_fibroblasts Astle_et_al_2016_Eosinophil_counts 0 0.172292706066993 0.209654724151813 6874 0.0424661511349251 0.00922593784410583 0.180793992085834
Cells_Cultured_fibroblasts Astle_et_al_2016_Eosinophil_counts 0.01 0.389409388095979 0.415771169419623 207 0.0686989522994789 0.0148753706584901 0.261442995604798
Cells_Cultured_fibroblasts Astle_et_al_2016_Eosinophil_counts 0.05 0.511219333969751 0.540988330211785 50 0.0504868924325849 0.0119749414370799 0.201952360904593
Cells_Cultured_fibroblasts Astle_et_al_2016_Eosinophil_counts 0.1 0.576855855394338 0.622435020519836 26 0.0940056098758668 0.016474809659828 0.32027421483453
Cells_Cultured_fibroblasts Astle_et_al_2016_Eosinophil_counts 0.2 0.293321190619344 0.164912280701754 12 0.0685810870452944 0.0251123027729236 0.345958207733646
Cells_Cultured_fibroblasts Astle_et_al_2016_Eosinophil_counts 0.5 0.662189348857168 0.0526315789473684 5 0.0501076679411212 0.0104201930428164 0.0501076679411212
Cells_EBV-transformed_lymphocytes Astle_et_al_2016_Eosinophil_counts 0 0.187734037585497 0.208310122512923 1398 0.0571506621114739 0.0142088051961232 0.180305825351548
Cells_EBV-transformed_lymphocytes Astle_et_al_2016_Eosinophil_counts 0.01 0.527852292543721 0.566001084997288 70 0.0551310387061392 0.010858004586635 0.171251823949482
Cells_EBV-transformed_lymphocytes Astle_et_al_2016_Eosinophil_counts 0.05 0.589440634966377 0.59037711313394 21 0.0924645367745402 0.0375822332403809 0.157964746199244
Cells_EBV-transformed_lymphocytes Astle_et_al_2016_Eosinophil_counts 0.1 0.620775537098856 0.547619047619048 8 0.0942121214139442 0.0466356228482827 0.181647382405932
Cells_EBV-transformed_lymphocytes Astle_et_al_2016_Eosinophil_counts 0.2 -1 -1 2 0.0578094361931731 0.0573254552326463 0.0582934171536998
Cells_EBV-transformed_lymphocytes Astle_et_al_2016_Eosinophil_counts 0.5 -1 -1 2 0.0578094361931731 0.0573254552326463 0.0582934171536998
Colon_Sigmoid Astle_et_al_2016_Eosinophil_counts 0 0.130079200620183 0.169787573058891 3447 0.0461956991570732 0.00934042707791172 0.160961778206312
Colon_Sigmoid Astle_et_al_2016_Eosinophil_counts 0.01 0.437528853131128 0.436045379296913 79 0.0776690298185417 0.0151482823214963 0.186019135644192
Colon_Sigmoid Astle_et_al_2016_Eosinophil_counts 0.05 0.454055630811962 0.463897131552918 23 0.0469393192126404 0.0116820400420377 0.146044565819611
Colon_Sigmoid Astle_et_al_2016_Eosinophil_counts 0.1 0.574738372174962 0.75 9 0.0164435660121266 0.0145888121972737 0.113595618048449
Colon_Sigmoid Astle_et_al_2016_Eosinophil_counts 0.2 0.964881264906306 1 4 0.0313235358291797 0.0118627502634101 0.0677863122350673
Colon_Transverse Astle_et_al_2016_Eosinophil_counts 0 0.173525681073549 0.181930876801758 4140 0.0481724865042237 0.00983623155217887 0.172407955864587
Colon_Transverse Astle_et_al_2016_Eosinophil_counts 0.01 0.473004963063502 0.494975087135749 121 0.0800430032056356 0.0201824472763224 0.227824953490279
Colon_Transverse Astle_et_al_2016_Eosinophil_counts 0.05 0.477970577679976 0.462589855219196 39 0.0911597170812123 0.0294398972293998 0.239299414739017
Colon_Transverse Astle_et_al_2016_Eosinophil_counts 0.1 0.606749705521726 0.484662576687117 17 0.0687101819144824 0.0354687524499505 0.178857596137203
Colon_Transverse Astle_et_al_2016_Eosinophil_counts 0.2 0.708453227991943 0.571428571428572 8 0.0578247505635614 0.0408094746103237 0.11308418684521
Colon_Transverse Astle_et_al_2016_Eosinophil_counts 0.5 0.610856652351921 0.5 3 0.0433276861816791 0.0382912630389684 0.0672437016314457
Esophagus_Gastroesophageal_Junction Astle_et_al_2016_Eosinophil_counts 0 0.152492574055054 0.193797707242954 4117 0.0456773612429308 0.0100786337718895 0.165867278580681
Esophagus_Gastroesophageal_Junction Astle_et_al_2016_Eosinophil_counts 0.01 0.393678233237264 0.397440149844887 135 0.071910281016478 0.0223906326012739 0.254703057797184
Esophagus_Gastroesophageal_Junction Astle_et_al_2016_Eosinophil_counts 0.05 0.341812963918345 0.284316722714766 34 0.0658575976375292 0.0235266678307324 0.175094708365314
Esophagus_Gastroesophageal_Junction Astle_et_al_2016_Eosinophil_counts 0.1 0.0598867186039012 -0.0526315789473684 18 0.058856249125504 0.0244620174688836 0.11444059368332
Esophagus_Gastroesophageal_Junction Astle_et_al_2016_Eosinophil_counts 0.2 0.401028909788793 0.223776223776224 12 0.067662363998587 0.0203889555172337 0.147281452261665
Esophagus_Gastroesophageal_Junction Astle_et_al_2016_Eosinophil_counts 0.5 0.541884162568032 0.657142857142857 6 0.0403977380684689 0.0244620174688836 0.0777232278775404
Esophagus_Mucosa Astle_et_al_2016_Eosinophil_counts 0 0.171030173643175 0.197759645534493 5991 0.0480729648967399 0.0102928390673788 0.179515284918952
Esophagus_Mucosa Astle_et_al_2016_Eosinophil_counts 0.01 0.337158788798034 0.332631378470663 164 0.0729738055974669 0.0241907186916788 0.194634512309304
Esophagus_Mucosa Astle_et_al_2016_Eosinophil_counts 0.05 0.175732119257263 0.16855561412757 45 0.0491751053962527 0.0155359593024144 0.118694365908206
Esophagus_Mucosa Astle_et_al_2016_Eosinophil_counts 0.1 0.325841987540729 0.375494071146245 22 0.0727369572620593 0.0197530863505136 0.354048155610309
Esophagus_Mucosa Astle_et_al_2016_Eosinophil_counts 0.2 0.490951652810794 0.445054945054945 13 0.0614166587194413 0.0344906749978614 0.294773362152007
Esophagus_Mucosa Astle_et_al_2016_Eosinophil_counts 0.5 1 1 2 0.424657085558215 0.257977327022605 0.591336844093826
Esophagus_Muscularis Astle_et_al_2016_Eosinophil_counts 0 0.147203454388305 0.18377227915149 5867 0.0459247090349791 0.00990297869394458 0.167346567532645
Esophagus_Muscularis Astle_et_al_2016_Eosinophil_counts 0.01 0.309354250890582 0.344425610239438 175 0.0792508072028273 0.0192317593691801 0.197789101921598
Esophagus_Muscularis Astle_et_al_2016_Eosinophil_counts 0.05 0.278621464322514 0.311235584843493 45 0.0792508072028273 0.0291610419599551 0.284513108682807
Esophagus_Muscularis Astle_et_al_2016_Eosinophil_counts 0.1 0.354743884712864 0.239766081871345 21 0.136566478927528 0.0423137238355214 0.173832422563057
Esophagus_Muscularis Astle_et_al_2016_Eosinophil_counts 0.2 0.757640412762084 0.680365296803653 11 0.155652875604287 0.0546965750360777 0.238116344772027
Esophagus_Muscularis Astle_et_al_2016_Eosinophil_counts 0.5 NA NA 1 0.0332743809671372 0.0332743809671372 0.0332743809671372
Heart_Atrial_Appendage Astle_et_al_2016_Eosinophil_counts 0 0.137880793545837 0.156161463512553 4278 0.0384626499645641 0.00936634634122739 0.147597219871142
Heart_Atrial_Appendage Astle_et_al_2016_Eosinophil_counts 0.01 0.348446557674261 0.365739637235981 116 0.0807507605172988 0.0130545638083428 0.253012944853117
Heart_Atrial_Appendage Astle_et_al_2016_Eosinophil_counts 0.05 0.651868397837494 0.649734091325876 32 0.0912975684869946 0.0088079951949565 0.315057994525237
Heart_Atrial_Appendage Astle_et_al_2016_Eosinophil_counts 0.1 0.589731297572188 0.587628865979381 16 0.0912975684869946 0.0431678459905756 0.221193062227171
Heart_Atrial_Appendage Astle_et_al_2016_Eosinophil_counts 0.2 0.608860709502141 0.595238095238095 8 0.121125552838532 0.0278312421305424 0.200644839799135
Heart_Atrial_Appendage Astle_et_al_2016_Eosinophil_counts 0.5 0.343009898106738 0.4 4 0.0622762041916262 0.0278312421305424 0.134974819061479
Kidney_Cortex Astle_et_al_2016_Eosinophil_counts 0 0.225032166979194 0.19965805948496 612 0.0455762229220903 0.0070478286357259 0.137739111802527
Kidney_Cortex Astle_et_al_2016_Eosinophil_counts 0.01 0.365073392833782 0.178571428571429 7 0.0478433003702855 0.0121669619146139 0.128496428200391
Liver Astle_et_al_2016_Eosinophil_counts 0 0.260505291915027 0.260032333021251 1708 0.0525359725998301 0.0110920754916249 0.158487558007987
Liver Astle_et_al_2016_Eosinophil_counts 0.01 0.549744042967855 0.597420704078076 41 0.101469487146403 0.0301771542895483 0.175816813196434
Liver Astle_et_al_2016_Eosinophil_counts 0.05 0.939149253436684 0.939024390243903 10 0.0999076573426355 0.0133713145257801 0.239345425657412
Liver Astle_et_al_2016_Eosinophil_counts 0.1 0.932067094078336 0.942857142857143 6 0.0714922115963552 0.011429976637708 0.133951225523093
Liver Astle_et_al_2016_Eosinophil_counts 0.2 1 1 2 0.0223247180462991 0.0111677792425275 0.0334816568500707
Lung Astle_et_al_2016_Eosinophil_counts 0 0.153650606622133 0.184562578685123 5314 0.0466035246465312 0.00907123408525539 0.15909359910545
Lung Astle_et_al_2016_Eosinophil_counts 0.01 0.267983336918874 0.291223910792891 156 0.0863078782156724 0.0143452171698082 0.237689116495625
Lung Astle_et_al_2016_Eosinophil_counts 0.05 0.42550690689714 0.453371278458844 38 0.0990789567034023 0.0143452171698082 0.177901201245004
Lung Astle_et_al_2016_Eosinophil_counts 0.1 0.420271881454709 0.532163742690059 21 0.04754063624068 0.0113898062933539 0.178857596137203
Lung Astle_et_al_2016_Eosinophil_counts 0.2 0.640465544373857 0.652892561983471 13 0.04754063624068 0.0122390326009021 0.178857596137203
Lung Astle_et_al_2016_Eosinophil_counts 0.5 -1 -1 2 0.0172623095173208 0.0143260579053373 0.0201985611293042
Minor_Salivary_Gland Astle_et_al_2016_Eosinophil_counts 0 0.140595257551091 0.179361050640504 1165 0.0574561669514047 0.0143330572102155 0.173959947502231
Minor_Salivary_Gland Astle_et_al_2016_Eosinophil_counts 0.01 0.443039000917626 0.422290076335878 27 0.0306231374145206 0.0142120820266316 0.24913720610479
Minor_Salivary_Gland Astle_et_al_2016_Eosinophil_counts 0.05 0.779686853881451 0.8 4 0.00999602867924905 0.00626647040294942 0.0274194902222033
Minor_Salivary_Gland Astle_et_al_2016_Eosinophil_counts 0.1 1 1 2 0.0430293679720375 0.0274194902222033 0.0586392457218718
Minor_Salivary_Gland Astle_et_al_2016_Eosinophil_counts 0.2 1 1 2 0.0430293679720375 0.0274194902222033 0.0586392457218718
Muscle_Skeletal Astle_et_al_2016_Eosinophil_counts 0 0.130678224762684 0.166910505728599 5586 0.0464722034426241 0.0101195015081842 0.171808601800882
Muscle_Skeletal Astle_et_al_2016_Eosinophil_counts 0.01 0.319662228815147 0.338041076314022 153 0.0504498605384855 0.0128517707062385 0.196400285163343
Muscle_Skeletal Astle_et_al_2016_Eosinophil_counts 0.05 0.298776118399943 0.363407116839451 35 0.0365662006440146 0.00914720577726502 0.162232152334975
Muscle_Skeletal Astle_et_al_2016_Eosinophil_counts 0.1 0.126274985232496 0.124812030075188 20 0.0317752422460407 0.00579511108940443 0.119226681811949
Muscle_Skeletal Astle_et_al_2016_Eosinophil_counts 0.2 0.221854111547291 0.0666666666666667 9 0.0674056950493789 0.0302585502379397 0.10413759302765
