tissue	phenotype	delta_0	ldscore_slope	var_err	var_beta_gene	var_beta_gene_null
Adipose_Subcutaneous	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	0.00280488120114859	4.87426906965445e-06	1.26108414138669e-05	1.47174505354251e-05	5.35893161017868e-19
Adipose_Subcutaneous	UKB_20002_1243_self_reported_psychological_or_psychiatric_problem	0.00283755833316972	-8.35396524920512e-07	5.47190516459893e-06	2.20261158854686e-06	1.75880449174979e-07
Adipose_Subcutaneous	UKB_20002_1261_self_reported_multiple_sclerosis	0.00263594437099982	1.69378870416346e-06	7.36011915882743e-06	9.93422134625455e-06	3.49284400991283e-19
Adipose_Subcutaneous	UKB_20002_1262_self_reported_parkinsons_disease	0.00283569364795837	-1.95968390076363e-07	5.64198710960429e-06	3.40640488079855e-06	5.23932346029681e-07
Adipose_Subcutaneous	UKB_20002_1265_self_reported_migraine	0.00290360611966686	-7.62131386771314e-08	6.01207414053871e-06	3.12423107866186e-06	3.42796510601227e-07
Adipose_Subcutaneous	UKB_20002_1289_self_reported_schizophrenia	0.00283661257100154	-6.88371415991654e-07	5.36893543161932e-06	2.00896000336042e-06	3.97201002669743e-08
Adipose_Subcutaneous	UKB_20002_1309_self_reported_osteoporosis	0.00287439764071189	1.53481232068154e-08	5.89238288278706e-06	3.4703579972554e-06	1.09815848435709e-07
Adipose_Subcutaneous	UKB_20002_1313_self_reported_ankylosing_spondylitis	0.00258234538620978	2.3456594094635e-06	1.14660535387893e-05	3.48060341515515e-06	0
Adipose_Subcutaneous	UKB_20002_1452_self_reported_eczema_or_dermatitis	0.00288214118568929	-4.99802796781144e-09	6.20303365457931e-06	3.99235483864005e-06	3.52320504427024e-07
Adipose_Subcutaneous	UKB_20002_1453_self_reported_psoriasis	0.00239510783202142	5.32675628824758e-06	1.97163854339259e-05	2.81556141822808e-05	1.97606873102672e-06
Adipose_Subcutaneous	UKB_20002_1461_self_reported_inflammatory_bowel_disease	0.00276956445540084	-4.48576970696627e-07	5.47052265297718e-06	2.20097816305931e-06	4.8639773832704e-21
Adipose_Subcutaneous	UKB_20002_1462_self_reported_crohns_disease	0.00283574650385262	-1.74846546119626e-07	5.80388024219991e-06	3.45062196781973e-06	1.81799120736071e-20
Adipose_Subcutaneous	UKB_20002_1463_self_reported_ulcerative_colitis	0.00278999522031341	6.42405226992159e-07	5.9353854233609e-06	4.24456962077327e-06	1.57771018719313e-08
Adipose_Subcutaneous	UKB_20002_1464_self_reported_rheumatoid_arthritis	0.00269589237862977	1.47324056140856e-06	7.33351638798552e-06	7.63382859775419e-06	7.96261779749569e-07
Adipose_Subcutaneous	UKB_20002_1466_self_reported_gout	0.00290333108531553	4.82661602699946e-07	6.40128241604012e-06	2.85748809263638e-06	7.42283168467632e-21
Adipose_Subcutaneous	UKB_20002_1473_self_reported_high_cholesterol	0.00315604643798274	8.61764901884914e-07	8.86527821053842e-06	2.20390456057108e-06	2.10697210100447e-18
Adipose_Subcutaneous	UKB_20002_1616_self_reported_insomnia	0.00285164971841081	-8.85704456532159e-07	5.46209515881045e-06	2.79783404191091e-06	2.34829857807376e-19
Adipose_Subcutaneous	UKB_2395_2_Hair_or_balding_pattern_Pattern_2	0.00289956682499442	-4.61034433278374e-08	6.14298900452843e-06	5.36659285347551e-06	1.01191253056083e-07
Adipose_Subcutaneous	UKB_2395_3_Hair_or_balding_pattern_Pattern_3	0.00286447381288046	7.4748489448125e-07	6.37913698913722e-06	7.15501866946228e-06	1.50417712078663e-07
Adipose_Subcutaneous	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	0.00301895929784203	2.03077644050928e-06	9.11666215106768e-06	1.2206680783223e-05	0
Adipose_Subcutaneous	UKB_6150_1_Vascular_or_heart_problems_diagnosed_by_doctor_Heart_attack	0.00288781061817549	3.64006105469721e-07	6.1459752293325e-06	3.55728436931911e-06	5.83366728024468e-07
Adipose_Subcutaneous	UKB_6152_5_diagnosed_by_doctor_Blood_clot_in_the_leg_DVT	0.00288941572938043	2.15675069913245e-08	6.03248339372084e-06	5.1633069785638e-06	0
Adipose_Subcutaneous	UKB_6152_7_diagnosed_by_doctor_Blood_clot_in_the_lung	0.00280443331657025	-2.74430543129252e-08	5.67430231006923e-06	3.49781636212499e-06	6.07800767398406e-08
Adipose_Subcutaneous	UKB_6152_8_diagnosed_by_doctor_Asthma	0.00292849894376547	3.66830841664444e-06	1.0234158352835e-05	1.34975290956261e-05	0
Adipose_Subcutaneous	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	0.00329640097134778	1.66532576502027e-06	1.09454108052965e-05	6.97146282322863e-06	8.22689828009773e-21
Adipose_Subcutaneous	UKB_G40_Diagnoses_main_ICD10_G40_Epilepsy	0.00280313930951919	-6.18423045178134e-07	5.32575432557149e-06	1.81485028761798e-06	2.60982651485722e-19
Adipose_Subcutaneous	UKB_G43_Diagnoses_main_ICD10_G43_Migraine	0.00277806847401996	-3.6104458972182e-07	5.37373144616268e-06	3.0224955719209e-06	0
Adipose_Subcutaneous	UKB_20002_1065_self_reported_hypertension	0.00361139558779752	1.80468578246307e-06	1.13576121002392e-05	8.11710153861226e-06	1.16591666277481e-06
Adipose_Subcutaneous	MAGIC_FastingGlucose	0.00708206448639405	2.45591353555643e-07	3.49962718287034e-05	2.23681787218006e-05	3.62779969182871e-06
Adipose_Subcutaneous	MAGIC_ln_FastingInsulin	0.00777171244856595	-8.10481923262176e-08	4.14973417202646e-05	2.1439615556679e-05	9.21338283897116e-07
Adipose_Subcutaneous	SSGAC_Depressive_Symptoms	0.00381629973878001	3.64779784277109e-07	1.10578840743113e-05	3.19761644399624e-06	4.57032018681355e-19
Adipose_Subcutaneous	MAGNETIC_CH2.DB.ratio	0.0108238529450648	-2.72424761522685e-06	8.86099731661945e-05	3.76301348658868e-05	1.23864698564795e-18
Adipose_Subcutaneous	MAGNETIC_HDL.C	0.0122932899309902	-2.18435545075466e-06	0.000109607126532553	3.47090942957295e-05	1.07213190047813e-17
Adipose_Subcutaneous	MAGNETIC_IDL.TG	0.0113981834927313	-6.37184948982113e-07	9.12496206389577e-05	4.90513043363702e-05	0
Adipose_Subcutaneous	MAGNETIC_LDL.C	0.0145206888300572	-1.33826296993331e-06	0.00014791376561464	8.35538075878047e-05	7.69847630309772e-06
Adipose_Subcutaneous	CARDIoGRAM_C4D_CAD_ADDITIVE	0.0039978744780261	2.74917220343646e-07	1.22395642493481e-05	5.74938754768898e-06	5.16882005830438e-19
Adipose_Subcutaneous	SSGAC_Education_Years_Pooled	0.00344930327940867	1.31560657039652e-06	9.91123635015002e-06	4.54819391775019e-06	9.18663085450285e-08
Adipose_Subcutaneous	Astle_et_al_2016_Eosinophil_counts	0.0038585211572155	1.02412123486399e-05	3.00550322465254e-05	3.15454435466269e-05	0
Adipose_Subcutaneous	Astle_et_al_2016_Granulocyte_count	0.00397052623436908	9.16814720827044e-06	2.72983889917859e-05	4.06332050961863e-05	1.41444948027697e-06
Adipose_Subcutaneous	Astle_et_al_2016_High_light_scatter_reticulocyte_count	0.00425252180302277	7.99541741668131e-06	3.30027390050897e-05	3.34655779306254e-05	2.72019210819821e-06
Adipose_Subcutaneous	Astle_et_al_2016_Lymphocyte_counts	0.00389602707076256	1.11948045905369e-05	3.50012613510512e-05	4.37376029902098e-05	1.33199490169691e-05
Adipose_Subcutaneous	Astle_et_al_2016_Monocyte_count	0.00415323314991191	9.06658246859737e-06	3.47781404184795e-05	2.39074285707717e-05	1.41146515486969e-06
Adipose_Subcutaneous	Astle_et_al_2016_Myeloid_white_cell_count	0.00394908961788022	9.55119184646222e-06	2.80797714391312e-05	4.14139630603908e-05	3.28315629589777e-17
Adipose_Subcutaneous	Astle_et_al_2016_Neutrophil_count	0.00403747442938971	8.65390350552624e-06	2.63782242810063e-05	3.71608020426091e-05	2.03598980780025e-06
Adipose_Subcutaneous	Astle_et_al_2016_Platelet_count	0.00501710633514003	4.54020494218073e-06	3.36377227958156e-05	1.57412069344877e-05	9.44936686600611e-07
Adipose_Subcutaneous	Astle_et_al_2016_Red_blood_cell_count	0.00456454422763346	6.13849720219867e-06	2.87021071631556e-05	2.55578729632692e-05	1.46736984098971e-06
Adipose_Subcutaneous	Astle_et_al_2016_Reticulocyte_count	0.00418772326328509	9.3366760068487e-06	3.77805104589399e-05	3.01637804839951e-05	0
Adipose_Subcutaneous	Astle_et_al_2016_Sum_basophil_neutrophil_counts	0.00401864746678807	8.80187957463391e-06	2.64590753052379e-05	3.8058379798108e-05	3.78079982205954e-19
Adipose_Subcutaneous	Astle_et_al_2016_Sum_eosinophil_basophil_counts	0.00383396843564817	1.02671463032683e-05	2.97636460251509e-05	3.27962774352278e-05	1.01377869941833e-18
Adipose_Subcutaneous	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	0.00397652329167175	9.10902594015423e-06	2.71140075020695e-05	4.0439116540635e-05	2.78258834381801e-21
Adipose_Subcutaneous	Astle_et_al_2016_White_blood_cell_count	0.00378739021915928	1.19781920680378e-05	3.47714713391265e-05	5.2632370790146e-05	6.3258670446281e-26
Adipose_Subcutaneous	ENIGMA_Intracraneal_Volume	0.00907969422279688	1.18137458830255e-06	6.06664316336165e-05	3.2162389049423e-05	2.59062845788139e-16
Adipose_Subcutaneous	GIANT_HEIGHT	0.00483127533478399	3.3808473869706e-06	2.66598291867894e-05	9.83420773441976e-06	0
Adipose_Subcutaneous	Jones_et_al_2016_Chronotype	0.00500690280448054	1.48936130569107e-07	1.75002126376836e-05	1.11641445914022e-05	5.24411554967175e-18
Adipose_Subcutaneous	Jones_et_al_2016_SleepDuration	0.00466828016470752	4.70746681678539e-07	1.57660000371523e-05	8.58466244113149e-06	0
Adipose_Subcutaneous	pgc.scz2	0.00472269054316102	5.97017447521531e-06	2.41161605039417e-05	1.36815060506896e-05	3.52556126874175e-06
Adipose_Subcutaneous	RA_OKADA_TRANS_ETHNIC	0.00480994493099094	1.15683356247038e-05	7.62651506939778e-05	0.00011916355711335	9.20288761750401e-19
Adipose_Subcutaneous	CNCR_Insomnia_all	0.00512062698501266	-1.08254220364616e-06	1.68807479265142e-05	6.90961142400183e-06	9.72188958533566e-18
Adipose_Subcutaneous	EAGLE_Eczema	0.00492679795839222	-2.71056650957035e-07	1.76017028321056e-05	6.64715881398211e-06	7.48270201960161e-18
Adipose_Subcutaneous	IBD.EUR.Crohns_Disease	0.0121628179646813	3.59339852657122e-06	0.000121304680189591	7.59058283968262e-05	8.29774925580926e-06
Adipose_Subcutaneous	IBD.EUR.Inflammatory_Bowel_Disease	0.00964639422570127	3.03849972406817e-06	7.70097436050366e-05	7.06413095061486e-05	6.67390980555056e-06
Adipose_Subcutaneous	IBD.EUR.Ulcerative_Colitis	0.0103696642446713	3.63065366086696e-06	8.971135763753e-05	0.000105834730226336	1.03459237771573e-18
Adipose_Subcutaneous	IGAP_Alzheimer	0.00720357082172426	3.27320577708828e-07	3.98061583865828e-05	1.91153964110918e-05	2.06577035414985e-06
Adipose_Subcutaneous	IMMUNOBASE_Systemic_lupus_erythematosus_hg19	0.00896489277572482	2.34431767677243e-05	0.000179219933365702	0.000206349038896599	0
Adipose_Subcutaneous	PGC_ADHD_EUR_2017	0.0074094743474684	2.42502372796411e-07	3.93032397954316e-05	2.24776826331935e-05	7.49748548052074e-07
Adipose_Subcutaneous	BCAC_ER_negative_BreastCancer_EUR	0.00500579196673659	7.86366558870193e-07	1.95031368078576e-05	8.60694705027438e-06	8.23548042684392e-17
Adipose_Subcutaneous	BCAC_ER_positive_BreastCancer_EUR	0.00489681282683391	-7.40700008950968e-07	1.64064834979464e-05	7.62029986888166e-06	1.51103645174104e-18
Adipose_Subcutaneous	BCAC_Overall_BreastCancer_EUR	0.00510906026464891	1.12133116490901e-06	2.04873810648796e-05	9.9217291313027e-06	1.27946166721316e-06
Adipose_Subcutaneous	EGG_BW3_EUR	0.0049957982282594	2.06469647513863e-07	1.85401507358394e-05	8.36783687308187e-06	0
Adipose_Subcutaneous	GEFOS_Forearm	0.00776266729584368	-1.98238745531687e-06	3.96600151021777e-05	1.90670061801503e-05	7.70173476843557e-07
Adipose_Visceral_Omentum	UKB_1160_Sleep_duration	0.00309872443943246	1.71406276579377e-06	7.91239707226152e-06	3.88648734099948e-06	6.25845992951875e-08
Adipose_Visceral_Omentum	UKB_1180_Morning_or_evening_person_chronotype	0.00333322154214753	1.23386073657569e-06	8.98400621584489e-06	4.41335358157202e-06	5.80525029292768e-19
Adipose_Visceral_Omentum	UKB_1200_Sleeplessness_or_insomnia	0.00319648864887513	2.98627959759364e-07	7.37017014353468e-06	3.00189556939412e-06	3.45133696094772e-19
Adipose_Visceral_Omentum	UKB_1807_Fathers_age_at_death	0.00294750592790646	4.61136091589193e-07	6.23895362935478e-06	3.1762486691514e-06	1.71397046829088e-07
Adipose_Visceral_Omentum	UKB_20016_Fluid_intelligence_score	0.00310507425499292	2.0159028968444e-06	8.20644849532444e-06	5.82618652328331e-06	7.59717673836814e-09
Adipose_Visceral_Omentum	UKB_20022_Birth_weight	0.00345748316761638	3.51431007755136e-07	9.21361561575244e-06	4.57553228976253e-06	1.42454115504524e-07
Adipose_Visceral_Omentum	UKB_20127_Neuroticism_score	0.00301568203546651	2.72480031847819e-06	8.49628537018633e-06	6.99164141925469e-06	0
Adipose_Visceral_Omentum	UKB_21001_Body_mass_index_BMI	0.00410888705305892	2.35434395877768e-06	1.60564087172009e-05	8.67670487490159e-06	2.5851799405272e-07
Adipose_Visceral_Omentum	UKB_23099_Body_fat_percentage	0.00402909750548112	2.42681494531868e-06	1.48847164033375e-05	8.41059176079802e-06	5.84863043290258e-19
Adipose_Visceral_Omentum	UKB_3526_Mothers_age_at_death	0.00291386515568257	1.37483026486468e-07	5.92304269047663e-06	3.4487352748308e-06	1.48538277156747e-07
Adipose_Visceral_Omentum	UKB_50_Standing_height	0.00500745878918609	7.35181365746985e-06	3.98173944575383e-05	1.95051057918995e-05	3.25572292595133e-06
Adipose_Visceral_Omentum	UKB_20002_1094_self_reported_deep_venous_thrombosis_dvt	0.00289914311575237	-6.4847745161276e-08	5.97125550304876e-06	5.33249936392688e-06	2.61966936646667e-19
Adipose_Visceral_Omentum	UKB_20002_1111_self_reported_asthma	0.00290711935058421	3.50936490693188e-06	9.83580305346436e-06	1.59281727346273e-05	3.03635439581056e-19
Adipose_Visceral_Omentum	UKB_20002_1154_self_reported_irritable_bowel_syndrome	0.00278834976797706	1.51408771399039e-07	5.4968837530872e-06	3.88171271181095e-06	7.3267430443683e-08
Adipose_Visceral_Omentum	UKB_20002_1222_self_reported_type_1_diabetes	0.00252295757119591	1.65499999669598e-06	6.15502635135178e-06	6.00698509875977e-06	5.34930861711442e-07
Adipose_Visceral_Omentum	UKB_20002_1223_self_reported_type_2_diabetes	0.00283067623272469	-3.99078584483198e-07	5.42607722552623e-06	2.97770325173058e-06	1.89656535298001e-08
Adipose_Visceral_Omentum	UKB_20002_1225_self_reported_hyperthyroidism_or_thyrotoxicosis	0.00224473035327179	5.1519681570809e-06	1.10246139071552e-05	1.49016596203433e-05	0
Adipose_Visceral_Omentum	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	0.0027686406341372	4.84485233284931e-06	1.24681836963401e-05	1.45863441939343e-05	1.17489935760262e-19
Adipose_Visceral_Omentum	UKB_20002_1243_self_reported_psychological_or_psychiatric_problem	0.00279958222807179	-7.90987332180265e-07	5.07073604696328e-06	3.04141730692801e-06	5.42997338061068e-07
Adipose_Visceral_Omentum	UKB_20002_1261_self_reported_multiple_sclerosis	0.00259107687600453	1.89248318749718e-06	7.78011857221424e-06	8.6832896008252e-06	3.55743959712622e-19
Adipose_Visceral_Omentum	UKB_20002_1262_self_reported_parkinsons_disease	0.00276897024146905	-2.74064851630275e-08	5.43535384861242e-06	3.78650789482597e-06	2.74567873511744e-07
Adipose_Visceral_Omentum	UKB_20002_1265_self_reported_migraine	0.00286733091336803	-2.73220779448135e-08	5.8627690049279e-06	3.99038284735825e-06	1.52941984132883e-08
Adipose_Visceral_Omentum	UKB_20002_1289_self_reported_schizophrenia	0.00280449722335479	-5.97042430016823e-07	5.22535982140051e-06	2.03105209829662e-06	2.1798613214382e-19
Adipose_Visceral_Omentum	UKB_20002_1309_self_reported_osteoporosis	0.0028389075880237	1.43888159396127e-07	5.80355536142775e-06	3.73141806375558e-06	0
Adipose_Visceral_Omentum	UKB_20002_1313_self_reported_ankylosing_spondylitis	0.00255543428913042	2.2565085981537e-06	1.71253659403653e-05	1.26182003757662e-05	0
Adipose_Visceral_Omentum	UKB_20002_1452_self_reported_eczema_or_dermatitis	0.00288491368634181	-8.43618049390097e-08	6.08144140590198e-06	5.22958299999503e-06	0
Adipose_Visceral_Omentum	UKB_20002_1453_self_reported_psoriasis	0.00236480959906494	5.29472320715209e-06	1.97727920567651e-05	4.40204254950314e-05	4.42094179231546e-06
Adipose_Visceral_Omentum	UKB_20002_1461_self_reported_inflammatory_bowel_disease	0.00276313804187472	-4.05641798363832e-07	5.45074185280801e-06	1.71927931396196e-06	3.67919851925327e-07
Adipose_Visceral_Omentum	UKB_20002_1462_self_reported_crohns_disease	0.0028109116122596	-1.33804586815035e-07	5.79764436865225e-06	2.53506340572225e-06	2.30985639047198e-18
Adipose_Visceral_Omentum	UKB_20002_1463_self_reported_ulcerative_colitis	0.00274626952407303	7.72010987219916e-07	5.66276852443229e-06	4.61894588261729e-06	4.07892799409987e-07
Adipose_Visceral_Omentum	UKB_20002_1464_self_reported_rheumatoid_arthritis	0.00265732790130499	1.34980906040871e-06	6.53762786173879e-06	7.28349176473058e-06	2.28837191187555e-06
Adipose_Visceral_Omentum	UKB_20002_1466_self_reported_gout	0.00284525090704441	6.4150455637434e-07	6.3914979660556e-06	2.56832558275636e-06	5.28857542579787e-07
Adipose_Visceral_Omentum	UKB_20002_1473_self_reported_high_cholesterol	0.0031334722799118	8.33777575052195e-07	9.18506476580395e-06	1.78573925362261e-06	0
Adipose_Visceral_Omentum	UKB_20002_1616_self_reported_insomnia	0.00283779977210067	-9.35760740827357e-07	5.25906004180616e-06	3.17140006717462e-06	9.63895703487948e-08
Adipose_Visceral_Omentum	UKB_2395_2_Hair_or_balding_pattern_Pattern_2	0.0028442251767323	1.19687308604435e-07	6.02266093540337e-06	5.27233439733813e-06	6.13314719811938e-18
Adipose_Visceral_Omentum	UKB_2395_3_Hair_or_balding_pattern_Pattern_3	0.00281396567809445	1.01161002993079e-06	6.54880303295728e-06	7.71737367126513e-06	2.0809977405537e-07
Adipose_Visceral_Omentum	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	0.0028831428583627	2.59266489557741e-06	8.7980978279543e-06	1.62703796219685e-05	5.76325569624853e-19
Adipose_Visceral_Omentum	UKB_6150_1_Vascular_or_heart_problems_diagnosed_by_doctor_Heart_attack	0.00286188117513147	3.20015822526225e-07	5.95465752200708e-06	4.00897489073355e-06	0
Adipose_Visceral_Omentum	UKB_6152_5_diagnosed_by_doctor_Blood_clot_in_the_leg_DVT	0.00289837690270573	4.30618436111273e-08	5.95920699861798e-06	5.50164407114842e-06	9.6554932547411e-07
Adipose_Visceral_Omentum	UKB_6152_7_diagnosed_by_doctor_Blood_clot_in_the_lung	0.00278867751564342	9.66902017192392e-09	5.50114160167572e-06	4.54415952975173e-06	6.27378553403948e-18
Adipose_Visceral_Omentum	UKB_6152_8_diagnosed_by_doctor_Asthma	0.00288445848129401	3.58100633070475e-06	9.74364063684817e-06	1.51839321449555e-05	1.28764461398258e-17
Adipose_Visceral_Omentum	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	0.00326516551105074	1.55157943737243e-06	1.04424278879803e-05	8.56430798452655e-06	0
Adipose_Visceral_Omentum	UKB_G40_Diagnoses_main_ICD10_G40_Epilepsy	0.00274283356452017	-4.26347663874555e-07	5.188199411353e-06	2.44863590512179e-06	9.30700309053342e-21
Adipose_Visceral_Omentum	UKB_G43_Diagnoses_main_ICD10_G43_Migraine	0.00273601090052626	-2.87395604712077e-07	5.04971461157343e-06	3.55629198475152e-06	3.19448665408529e-18
Adipose_Visceral_Omentum	UKB_20002_1065_self_reported_hypertension	0.00355746618443211	1.8283402229362e-06	1.11176256352733e-05	8.67252202610262e-06	0
Adipose_Visceral_Omentum	MAGIC_FastingGlucose	0.00703201207580521	3.30635105029057e-07	3.55363448692661e-05	1.85774194979802e-05	0
Adipose_Visceral_Omentum	MAGIC_ln_FastingInsulin	0.00777136856342969	-1.37085971880044e-08	4.07636807256283e-05	2.27807362270452e-05	3.25831077010799e-06
Adipose_Visceral_Omentum	SSGAC_Depressive_Symptoms	0.00379098855896296	3.8326957451947e-07	1.08170888089483e-05	1.93425600144976e-06	2.33650359292909e-06
Adipose_Visceral_Omentum	MAGNETIC_CH2.DB.ratio	0.0107724499668227	-2.70331514812616e-06	8.76236759561428e-05	3.01921810066248e-05	1.14045813984752e-05
Adipose_Visceral_Omentum	MAGNETIC_HDL.C	0.0120355885166508	-1.99782240591632e-06	0.000104507729520439	3.51013138779523e-05	8.79644769607912e-06
Adipose_Visceral_Omentum	MAGNETIC_IDL.TG	0.0114529674917033	-8.36728241124018e-07	9.5359675954127e-05	2.75771983464197e-05	1.29496219692996e-05
Adipose_Visceral_Omentum	MAGNETIC_LDL.C	0.0144911186096769	-1.3991358885414e-06	0.000152622351306997	5.43875094308245e-05	5.12367529796359e-05
Adipose_Visceral_Omentum	CARDIoGRAM_C4D_CAD_ADDITIVE	0.00397278907419799	3.25748581749167e-07	1.22501891427554e-05	4.5185274394427e-06	7.66972260542126e-07
Adipose_Visceral_Omentum	SSGAC_Education_Years_Pooled	0.00338472322310166	1.40281168293879e-06	9.61999247412716e-06	3.93690059740553e-06	1.08491151203162e-06
Adipose_Visceral_Omentum	Astle_et_al_2016_Eosinophil_counts	0.00391765046650966	9.77247322093814e-06	3.16717959312966e-05	2.4518305773044e-05	1.34031751165177e-06
Adipose_Visceral_Omentum	Astle_et_al_2016_Granulocyte_count	0.00399336911568493	8.79825645311714e-06	2.84205953791618e-05	3.88900313623791e-05	2.52946227936224e-18
Adipose_Visceral_Omentum	Astle_et_al_2016_High_light_scatter_reticulocyte_count	0.00432561191194914	7.81163359064e-06	3.64711244827677e-05	2.33725078616358e-05	0
Adipose_Visceral_Omentum	Astle_et_al_2016_Lymphocyte_counts	0.00396733588878588	1.04302242470814e-05	3.44462694293102e-05	3.63658189793286e-05	2.10157617287479e-06
Adipose_Visceral_Omentum	Astle_et_al_2016_Monocyte_count	0.00411511926654764	8.88098147527589e-06	3.31930907623527e-05	1.78658409290671e-05	0
Adipose_Visceral_Omentum	Astle_et_al_2016_Myeloid_white_cell_count	0.00396706469538097	9.13999663705498e-06	2.91706115799508e-05	3.92713542159128e-05	3.36214041067868e-17
Adipose_Visceral_Omentum	Astle_et_al_2016_Neutrophil_count	0.00404284758312808	8.37029906333255e-06	2.72449634109053e-05	3.72773595286573e-05	6.78581325750043e-06
Adipose_Visceral_Omentum	Astle_et_al_2016_Platelet_count	0.00507590418133303	4.18230490013059e-06	3.57995618043832e-05	1.33390107975667e-05	1.70872134933474e-19
Adipose_Visceral_Omentum	Astle_et_al_2016_Red_blood_cell_count	0.00446872792223916	6.57424098883548e-06	3.09694082874372e-05	1.80468743370502e-05	6.63013582676897e-06
Adipose_Visceral_Omentum	Astle_et_al_2016_Reticulocyte_count	0.00423761520202091	9.19263119622016e-06	4.09509762210241e-05	2.14871972000146e-05	1.70582207394385e-19
Adipose_Visceral_Omentum	Astle_et_al_2016_Sum_basophil_neutrophil_counts	0.00403065080394604	8.44069845855937e-06	2.74372824145929e-05	3.75312902284147e-05	6.38306861276654e-06
Adipose_Visceral_Omentum	Astle_et_al_2016_Sum_eosinophil_basophil_counts	0.00390275390112232	9.7662327807501e-06	3.13586619377569e-05	2.62394049249896e-05	0
Adipose_Visceral_Omentum	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	0.00401039338793526	8.68152542648401e-06	2.81927803723248e-05	3.88604658530218e-05	5.68028999406352e-06
Adipose_Visceral_Omentum	Astle_et_al_2016_White_blood_cell_count	0.00382714712140979	1.13577263901648e-05	3.51268197132907e-05	4.8349038556677e-05	3.11519283558682e-20
Adipose_Visceral_Omentum	ENIGMA_Intracraneal_Volume	0.00889026110675253	1.59921958205241e-06	5.7799833494579e-05	4.6364329223768e-05	1.56099348781496e-06
Adipose_Visceral_Omentum	GIANT_HEIGHT	0.00488876929940268	3.14264290916101e-06	2.77985623302949e-05	8.34442454784179e-06	9.80924978301669e-07
Adipose_Visceral_Omentum	Jones_et_al_2016_Chronotype	0.00486713874423846	4.53595373084879e-07	1.73130696807913e-05	1.00214053530197e-05	5.62878174979531e-07
