phenotype	intron	pvalue	rcp
Astle_et_al_2016_Eosinophil_counts	intron_19_39734493_39734997	5.1300069644889e-14	0.544
Astle_et_al_2016_Eosinophil_counts	intron_3_112349819_112361543	6.52599769338421e-14	0.587
Astle_et_al_2016_Eosinophil_counts	intron_3_112340983_112344962	7.33738974596245e-14	0.669
Astle_et_al_2016_Eosinophil_counts	intron_15_67165384_67166779	7.95167841776707e-14	0.663
Astle_et_al_2016_Eosinophil_counts	intron_3_112347222_112351589	1.07800119702263e-13	0.597
Astle_et_al_2016_Eosinophil_counts	intron_3_112333224_112344962	2.11725173555954e-13	0.717
Astle_et_al_2016_Eosinophil_counts	intron_2_241750579_241751246	2.2485556012793e-13	0.635
Astle_et_al_2016_Eosinophil_counts	intron_9_91214425_91217277	2.59614615359809e-13	0.634
Astle_et_al_2016_Eosinophil_counts	intron_2_233204717_233206706	3.15682078527346e-13	0.613
Astle_et_al_2016_Eosinophil_counts	intron_3_112333224_112340902	3.56441156581314e-13	0.705
Astle_et_al_2016_Eosinophil_counts	intron_2_241749399_241750151	4.59829589880619e-13	0.645
Astle_et_al_2016_Eosinophil_counts	intron_1_8422807_8423167	2.12699645286337e-12	0.79
Astle_et_al_2016_Eosinophil_counts	intron_1_8423247_8423561	2.12699645286339e-12	0.507
Astle_et_al_2016_Eosinophil_counts	intron_1_8432645_8434633	2.25699963910836e-12	0.659
Astle_et_al_2016_Eosinophil_counts	intron_1_8422807_8424788	2.32815658898005e-12	0.805
Astle_et_al_2016_Eosinophil_counts	intron_19_1080379_1080464	4.03000253530396e-12	0.928
Astle_et_al_2016_Eosinophil_counts	intron_1_8422807_8424015	1.44082163302618e-11	0.875
Astle_et_al_2016_Eosinophil_counts	intron_1_93290686_93305388	1.5173285031685e-11	0.524
Astle_et_al_2016_Eosinophil_counts	intron_1_8424701_8429827	1.57964517314059e-11	0.701
Astle_et_al_2016_Eosinophil_counts	intron_11_61803111_61803363	2.01481125104678e-11	0.714
Astle_et_al_2016_Eosinophil_counts	intron_16_27330198_27340186	2.68499931695764e-11	0.578
Astle_et_al_2016_Eosinophil_counts	intron_19_48955833_48956198	3.79966740974383e-11	0.726
Astle_et_al_2016_Eosinophil_counts	intron_11_61790602_61792556	6.78451856148991e-11	0.522
Astle_et_al_2016_Eosinophil_counts	intron_1_8422807_8465925	7.60153803220346e-11	0.794
Astle_et_al_2016_Eosinophil_counts	intron_1_8422807_8423561	9.0012886296811e-11	0.798
Astle_et_al_2016_Eosinophil_counts	intron_19_48954962_48955687	1.03800162146297e-10	0.66
Astle_et_al_2016_Eosinophil_counts	intron_19_1104127_1105186	1.08929087384541e-10	0.919
Astle_et_al_2016_Eosinophil_counts	intron_12_904494_906317	1.09488532330577e-10	0.716
Astle_et_al_2016_Eosinophil_counts	intron_2_96536830_96547402	1.37140535468163e-10	0.853
Astle_et_al_2016_Eosinophil_counts	intron_11_308438_309013	1.85428792448943e-10	0.86
Astle_et_al_2016_Eosinophil_counts	intron_19_1104929_1105186	3.32056762206087e-10	0.832
Astle_et_al_2016_Eosinophil_counts	intron_19_48955599_48955687	4.0790031936619e-10	0.731
Astle_et_al_2016_Eosinophil_counts	intron_16_27345020_27345572	4.4119962966417e-10	0.56
Astle_et_al_2016_Eosinophil_counts	intron_8_118930768_118932931	8.92499759705789e-10	0.906
Astle_et_al_2016_Eosinophil_counts	intron_16_68275249_68284880	1.01795893930179e-09	0.778
Astle_et_al_2016_Eosinophil_counts	intron_2_241744877_241748827	1.05055557389428e-09	0.556
Astle_et_al_2016_Eosinophil_counts	intron_19_48955599_48956198	1.13200162402904e-09	0.609
Astle_et_al_2016_Eosinophil_counts	intron_19_48954962_48956198	1.13200162402907e-09	0.52
Astle_et_al_2016_Eosinophil_counts	intron_16_27345020_27345374	1.17477015788284e-09	0.575
Astle_et_al_2016_Eosinophil_counts	intron_8_127989291_128070160	1.67263201150629e-09	0.843
Astle_et_al_2016_Eosinophil_counts	intron_1_8438300_8465925	1.68933161399585e-09	0.646
Astle_et_al_2016_Eosinophil_counts	intron_12_904494_907847	1.80591563828707e-09	0.692
Astle_et_al_2016_Eosinophil_counts	intron_22_24225411_24225546	2.3099994818464e-09	0.884
Astle_et_al_2016_Eosinophil_counts	intron_22_24226266_24226631	2.3099994818464e-09	0.724
Astle_et_al_2016_Eosinophil_counts	intron_9_136432583_136432956	2.5651079312521e-09	0.834
Astle_et_al_2016_Eosinophil_counts	intron_9_136432586_136432956	2.61726363517609e-09	0.827
Astle_et_al_2016_Eosinophil_counts	intron_16_68285013_68287746	3.28887042889423e-09	0.627
Astle_et_al_2016_Eosinophil_counts	intron_11_57416670_57417748	4.26487508073974e-09	0.905
Astle_et_al_2016_Eosinophil_counts	intron_2_241744877_241747614	5.27891746371001e-09	0.545
Astle_et_al_2016_Eosinophil_counts	intron_8_118928929_118932931	7.14300879946359e-09	0.906
Astle_et_al_2016_Eosinophil_counts	intron_3_51861684_51861858	8.62600618117807e-09	0.879
Astle_et_al_2016_Eosinophil_counts	intron_3_51861725_51861858	8.62600618117807e-09	0.921
Astle_et_al_2016_Eosinophil_counts	intron_11_61828597_61837778	1.01187324806645e-08	0.58
Astle_et_al_2016_Eosinophil_counts	intron_9_136433279_136434037	1.12634213314353e-08	0.601
Astle_et_al_2016_Eosinophil_counts	intron_9_136433075_136433155	1.12891755613093e-08	0.579
Astle_et_al_2016_Eosinophil_counts	intron_16_68275249_68287746	1.1374993822759e-08	0.617
Astle_et_al_2016_Eosinophil_counts	intron_9_4793227_4823548	1.27299979333035e-08	0.617
Astle_et_al_2016_Eosinophil_counts	intron_7_128938049_128942071	1.51388173113817e-08	0.858
Astle_et_al_2016_Eosinophil_counts	intron_17_75828086_75828787	1.67017256485025e-08	0.813
Astle_et_al_2016_Eosinophil_counts	intron_7_128937834_128942071	2.16500271466829e-08	0.869
Astle_et_al_2016_Eosinophil_counts	intron_17_75828983_75830028	2.36738373765928e-08	0.871
Astle_et_al_2016_Eosinophil_counts	intron_11_57415106_57417748	2.64800357708046e-08	0.836
Astle_et_al_2016_Eosinophil_counts	intron_17_75828086_75830028	3.07716635165209e-08	0.792
Astle_et_al_2016_Eosinophil_counts	intron_8_144103225_144104265	4.31396681049406e-08	0.983
Astle_et_al_2016_Eosinophil_counts	intron_2_85579167_85579742	4.52877349672558e-08	0.584
Astle_et_al_2016_Eosinophil_counts	intron_2_85577649_85581576	5.17782794436941e-08	0.628
Astle_et_al_2016_Eosinophil_counts	intron_15_85747809_85748752	8.23934213910443e-08	0.78
Astle_et_al_2016_Eosinophil_counts	intron_17_5335344_5336488	1.27114719168368e-07	0.503
Astle_et_al_2016_Eosinophil_counts	intron_2_190991320_190995061	1.37799868765274e-07	0.56
Astle_et_al_2016_Eosinophil_counts	intron_12_31985957_31987239	1.98288540133864e-07	0.748
Astle_et_al_2016_Eosinophil_counts	intron_11_57389956_57390819	2.08214489043399e-07	0.524
Astle_et_al_2016_Eosinophil_counts	intron_12_31987322_31992378	2.33286172829494e-07	0.507
Astle_et_al_2016_Eosinophil_counts	intron_17_36545817_36554820	2.64629557883729e-07	0.68
Astle_et_al_2016_Eosinophil_counts	intron_5_177338605_177351173	2.689443233287e-07	0.541
Astle_et_al_2016_Eosinophil_counts	intron_1_91511923_91513058	2.76800094226387e-07	0.712
Astle_et_al_2016_Eosinophil_counts	intron_8_27451078_27451485	2.83040739171795e-07	0.709
Astle_et_al_2016_Eosinophil_counts	intron_1_9651802_9710424	2.91595896195058e-07	0.655
Astle_et_al_2016_Eosinophil_counts	intron_15_85740272_85741046	3.33999902808886e-07	0.582
Astle_et_al_2016_Granulocyte_count	intron_6_31269525_31269966	1.22867171932007e-67	0.994
Astle_et_al_2016_Granulocyte_count	intron_19_43649143_43652225	1.26630927961206e-64	0.987
Astle_et_al_2016_Granulocyte_count	intron_11_314356_314922	4.27624150032765e-51	0.86
Astle_et_al_2016_Granulocyte_count	intron_6_32040205_32040406	5.94766123687886e-50	0.664
Astle_et_al_2016_Granulocyte_count	intron_6_32007470_32007671	6.62296781678942e-50	0.825
Astle_et_al_2016_Granulocyte_count	intron_11_308889_309013	1.16418399933887e-47	0.62
Astle_et_al_2016_Granulocyte_count	intron_11_319985_320565	1.86060776039489e-46	0.896
Astle_et_al_2016_Granulocyte_count	intron_11_319990_320565	1.30109245435268e-45	0.882
Astle_et_al_2016_Granulocyte_count	intron_11_308438_309013	6.63173492699121e-42	0.995
Astle_et_al_2016_Granulocyte_count	intron_11_308438_309018	8.15567526984388e-40	0.536
Astle_et_al_2016_Granulocyte_count	intron_11_308438_314922	7.57854100580447e-37	0.872
Astle_et_al_2016_Granulocyte_count	intron_19_45239061_45245341	4.3299965524422e-34	0.724
Astle_et_al_2016_Granulocyte_count	intron_1_36475673_36479433	2.96700168040901e-23	0.984
Astle_et_al_2016_Granulocyte_count	intron_10_28524611_28525948	1.27317061287918e-22	0.562
Astle_et_al_2016_Granulocyte_count	intron_10_28524574_28525948	1.79299207108537e-22	0.512
Astle_et_al_2016_Granulocyte_count	intron_1_36475673_36477605	1.95018146145134e-22	0.955
Astle_et_al_2016_Granulocyte_count	intron_5_132295009_132302441	2.29079543133919e-21	0.526
Astle_et_al_2016_Granulocyte_count	intron_10_28526008_28532442	3.40527618679515e-21	0.576
Astle_et_al_2016_Granulocyte_count	intron_1_36477677_36479433	2.72490795607967e-20	0.976
Astle_et_al_2016_Granulocyte_count	intron_2_27372740_27373247	3.78999205908164e-17	0.833
Astle_et_al_2016_Granulocyte_count	intron_9_136429807_136430297	3.03453004196106e-16	0.527
Astle_et_al_2016_Granulocyte_count	intron_5_69292362_69294793	2.12930519982326e-15	0.601
Astle_et_al_2016_Granulocyte_count	intron_5_69294900_69300012	2.16090684933082e-15	0.575
Astle_et_al_2016_Granulocyte_count	intron_2_168851006_168851084	2.82183240707844e-15	0.939
Astle_et_al_2016_Granulocyte_count	intron_2_168851404_168856690	3.13305292099652e-15	0.93
Astle_et_al_2016_Granulocyte_count	intron_5_69311204_69320237	4.85494770190919e-15	0.703
Astle_et_al_2016_Granulocyte_count	intron_5_69311204_69313985	4.8604309311712e-15	0.694
Astle_et_al_2016_Granulocyte_count	intron_2_168843117_168851084	5.94854588595419e-15	0.892
Astle_et_al_2016_Granulocyte_count	intron_5_69306902_69307951	9.7900160862072e-15	0.659
Astle_et_al_2016_Granulocyte_count	intron_5_69303929_69307951	1.05599867070717e-14	0.61
Astle_et_al_2016_Granulocyte_count	intron_5_69303929_69306817	1.05599867070721e-14	0.658
Astle_et_al_2016_Granulocyte_count	intron_2_168843117_168850836	1.34322112449009e-14	0.891
Astle_et_al_2016_Granulocyte_count	intron_2_168862049_168863377	2.34967734624109e-14	0.899
Astle_et_al_2016_Granulocyte_count	intron_5_69314043_69320237	4.14901157540663e-14	0.723
Astle_et_al_2016_Granulocyte_count	intron_5_69300127_69303847	5.79654415128859e-14	0.697
Astle_et_al_2016_Granulocyte_count	intron_5_69285467_69294793	5.82775451879402e-14	0.783
Astle_et_al_2016_Granulocyte_count	intron_2_168862049_168863381	5.874327013582e-14	0.891
Astle_et_al_2016_Granulocyte_count	intron_2_168862049_168864834	7.24640933935778e-14	0.908
Astle_et_al_2016_Granulocyte_count	intron_11_61803188_61803363	1.14199952986251e-13	0.519
Astle_et_al_2016_Granulocyte_count	intron_9_136431985_136432479	1.59846614072039e-13	0.529
Astle_et_al_2016_Granulocyte_count	intron_5_69320345_69320465	1.93745061552562e-13	0.519
Astle_et_al_2016_Granulocyte_count	intron_11_61816426_61837778	5.02982572579038e-13	0.786
Astle_et_al_2016_Granulocyte_count	intron_19_48624430_48625891	6.27999310566413e-13	0.65
Astle_et_al_2016_Granulocyte_count	intron_11_61803111_61803363	7.36531286224793e-13	0.756
Astle_et_al_2016_Granulocyte_count	intron_9_136433279_136434037	7.81301794397851e-13	0.528
Astle_et_al_2016_Granulocyte_count	intron_11_61828597_61837778	8.52194732457866e-13	0.807
Astle_et_al_2016_Granulocyte_count	intron_19_48633655_48634699	1.14599976492545e-12	0.593
Astle_et_al_2016_Granulocyte_count	intron_19_48625076_48625891	1.14602353384849e-12	0.703
Astle_et_al_2016_Granulocyte_count	intron_6_26598110_26598265	2.24463127184544e-12	0.528
Astle_et_al_2016_Granulocyte_count	intron_11_61793028_61795341	2.72994971966626e-12	0.522
Astle_et_al_2016_Granulocyte_count	intron_11_61811075_61812471	4.45299467760147e-12	0.638
Astle_et_al_2016_Granulocyte_count	intron_1_108195992_108199956	4.5522797056479e-12	0.886
Astle_et_al_2016_Granulocyte_count	intron_5_179699102_179705679	6.64161171997902e-12	0.812
Astle_et_al_2016_Granulocyte_count	intron_19_48638293_48638888	9.53431855362975e-12	0.695
Astle_et_al_2016_Granulocyte_count	intron_5_179699770_179705679	1.09900045081334e-11	0.639
Astle_et_al_2016_Granulocyte_count	intron_5_179699049_179705679	1.21945716537702e-11	0.787
Astle_et_al_2016_Granulocyte_count	intron_11_61790602_61792556	1.32200216167807e-11	0.62
Astle_et_al_2016_Granulocyte_count	intron_19_1036246_1036416	2.84807633524881e-11	0.918
Astle_et_al_2016_Granulocyte_count	intron_19_1032696_1036130	4.54197342680444e-11	0.943
Astle_et_al_2016_Granulocyte_count	intron_7_44967958_44969413	4.61661683174829e-11	0.706
Astle_et_al_2016_Granulocyte_count	intron_7_44967958_44968920	5.03598078539822e-11	0.709
Astle_et_al_2016_Granulocyte_count	intron_8_11494591_11543135	6.42100097632099e-11	0.693
Astle_et_al_2016_Granulocyte_count	intron_7_44964519_44964945	8.23000092519e-11	0.621
Astle_et_al_2016_Granulocyte_count	intron_7_44964162_44964415	8.23000092519e-11	0.631
Astle_et_al_2016_Granulocyte_count	intron_18_23519174_23520202	8.51200528721183e-11	0.621
Astle_et_al_2016_Granulocyte_count	intron_4_728628_730630	9.8359961421464e-11	0.604
Astle_et_al_2016_Granulocyte_count	intron_11_61816696_61837778	1.08000074237313e-10	0.52
Astle_et_al_2016_Granulocyte_count	intron_19_7787978_7788324	1.44000147171232e-10	0.651
Astle_et_al_2016_Granulocyte_count	intron_19_7787978_7788308	1.44000147171234e-10	0.617
Astle_et_al_2016_Granulocyte_count	intron_15_50492913_50493060	1.83190050110919e-10	0.777
Astle_et_al_2016_Granulocyte_count	intron_8_11539571_11543224	1.85199732448559e-10	0.555
Astle_et_al_2016_Granulocyte_count	intron_18_23506642_23533355	2.40552527671294e-10	0.738
Astle_et_al_2016_Granulocyte_count	intron_18_23545149_23548006	2.59073873630717e-10	0.534
Astle_et_al_2016_Granulocyte_count	intron_15_101178980_101235082	4.0387454872938e-10	0.546
Astle_et_al_2016_Granulocyte_count	intron_18_23573574_23586287	4.12642061093512e-10	0.602
Astle_et_al_2016_Granulocyte_count	intron_4_730668_730970	4.35597017883741e-10	0.594
Astle_et_al_2016_Granulocyte_count	intron_4_7043849_7048463	4.81368722402613e-10	0.969
Astle_et_al_2016_Granulocyte_count	intron_2_168846951_168851084	6.74850100505772e-10	0.681
Astle_et_al_2016_Granulocyte_count	intron_18_23532284_23533355	7.44060570532429e-10	0.713
Astle_et_al_2016_Granulocyte_count	intron_18_23526765_23529179	7.70157920748132e-10	0.649
Astle_et_al_2016_Granulocyte_count	intron_6_159041055_159041798	1.72522893988234e-09	0.795
Astle_et_al_2016_Granulocyte_count	intron_17_1469614_1470175	3.48376843302694e-09	0.614
Astle_et_al_2016_Granulocyte_count	intron_7_47369621_47380805	3.52099997875452e-09	0.852
Astle_et_al_2016_Granulocyte_count	intron_13_49549648_49550411	3.54000315974479e-09	0.691
Astle_et_al_2016_Granulocyte_count	intron_15_50492913_50494070	4.34980629781856e-09	0.683
Astle_et_al_2016_Granulocyte_count	intron_13_49549648_49549743	5.41842089058786e-09	0.836
Astle_et_al_2016_Granulocyte_count	intron_4_7043849_7047955	6.09617659112244e-09	0.903
Astle_et_al_2016_Granulocyte_count	intron_13_49549648_49551326	6.39995534248281e-09	0.826
Astle_et_al_2016_Granulocyte_count	intron_17_7851796_7851951	9.80500390244517e-09	0.586
Astle_et_al_2016_Granulocyte_count	intron_17_7851549_7851648	9.8050039024452e-09	0.501
Astle_et_al_2016_Granulocyte_count	intron_2_27376216_27376313	1.10168711508933e-08	0.81
Astle_et_al_2016_Granulocyte_count	intron_2_27376183_27376313	1.33181474742228e-08	0.794
Astle_et_al_2016_Granulocyte_count	intron_17_7858824_7859382	1.37099973463848e-08	0.599
Astle_et_al_2016_Granulocyte_count	intron_1_108156885_108157462	1.43580777391233e-08	0.669
Astle_et_al_2016_Granulocyte_count	intron_16_30472898_30473965	1.51599997536053e-08	0.881
Astle_et_al_2016_Granulocyte_count	intron_16_30472898_30474196	1.51599997536053e-08	0.875
Astle_et_al_2016_Granulocyte_count	intron_16_30474083_30474196	1.51599997536054e-08	0.89
Astle_et_al_2016_Granulocyte_count	intron_17_74698481_74698576	1.70699949859144e-08	0.677
Astle_et_al_2016_Granulocyte_count	intron_12_119668403_119672301	2.59090660953723e-08	0.979
Astle_et_al_2016_Granulocyte_count	intron_4_119245429_119248748	2.69900068493198e-08	0.506
Astle_et_al_2016_Granulocyte_count	intron_17_7324980_7325195	2.73500293622405e-08	0.648
Astle_et_al_2016_Granulocyte_count	intron_17_7330954_7332853	2.73500293622407e-08	0.859
Astle_et_al_2016_Granulocyte_count	intron_12_119668403_119671495	3.06931612014155e-08	0.979
Astle_et_al_2016_Granulocyte_count	intron_2_168843117_168846796	3.12864616823082e-08	0.623
Astle_et_al_2016_Granulocyte_count	intron_17_43018799_43020143	3.62900204376854e-08	0.557
Astle_et_al_2016_Granulocyte_count	intron_10_89247649_89250611	3.77899834018559e-08	0.732
Astle_et_al_2016_Granulocyte_count	intron_22_17689142_17702243	7.42573215060494e-08	0.502
Astle_et_al_2016_Granulocyte_count	intron_17_7324012_7324112	7.68199592633189e-08	0.716
Astle_et_al_2016_Granulocyte_count	intron_17_7322010_7322735	7.6819959263319e-08	0.588
Astle_et_al_2016_Granulocyte_count	intron_17_7324980_7325209	7.6819959263319e-08	0.681
Astle_et_al_2016_Granulocyte_count	intron_19_1032696_1036416	9.92503592270113e-08	0.943
Astle_et_al_2016_Granulocyte_count	intron_17_7324012_7324108	1.18972676915352e-07	0.624
Astle_et_al_2016_Granulocyte_count	intron_1_27362753_27363442	1.23199912043302e-07	0.541
Astle_et_al_2016_Granulocyte_count	intron_17_43018799_43021936	1.24417892841506e-07	0.61
Astle_et_al_2016_Granulocyte_count	intron_4_7043849_7054062	1.33739623165112e-07	0.976
Astle_et_al_2016_Granulocyte_count	intron_10_44380880_44384945	1.35311146686174e-07	0.882
Astle_et_al_2016_Granulocyte_count	intron_3_183978651_183981727	1.46024586617144e-07	0.737
Astle_et_al_2016_Granulocyte_count	intron_8_127989291_127996561	1.55950486124919e-07	0.781
Astle_et_al_2016_Granulocyte_count	intron_22_17683321_17702243	2.39071107972296e-07	0.556
Astle_et_al_2016_Granulocyte_count	intron_9_113156172_113157727	2.43855809087035e-07	0.93
Astle_et_al_2016_Granulocyte_count	intron_10_102617428_102627175	2.5126435745731e-07	0.661
Astle_et_al_2016_Granulocyte_count	intron_10_13492876_13496766	2.72097089106513e-07	0.826
Astle_et_al_2016_Granulocyte_count	intron_10_71755466_71773358	2.96925197809114e-07	0.993
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_20_4148977_4175030	1.976737548287e-288	0.535
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_20_4175263_4177351	6.92001752269604e-284	0.542
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_3_50297672_50299213	3.86405005211065e-74	0.634
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_3_50295619_50299213	3.03256850595858e-73	0.912
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_1_3773181_3775795	1.02600650494105e-49	0.927
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_10_45458543_45459120	5.10722333900385e-46	0.982
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_19_10628004_10634756	6.39202167405755e-45	0.657
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_19_10627795_10627920	8.41591271864339e-45	0.551
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_5_52788414_52849365	4.55255587359253e-39	0.523
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_19_10625670_10626253	3.23182027223032e-38	0.672
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_3_50293721_50294709	1.18300150087176e-35	0.605
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_17_28859283_28860577	4.52101872766478e-29	0.549
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_17_28859283_28860431	7.61776747102552e-29	0.519
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_17_28858486_28858964	8.61597865535919e-28	0.622
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_6_32007470_32007671	5.18302248160058e-24	0.982
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_1_205256416_205271120	1.98700408636151e-23	0.521
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_14_23016635_23033368	2.98155651142004e-23	0.901
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_1_205242044_205268950	4.26028707843691e-23	0.545
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_14_23027829_23033368	1.20499808786906e-22	0.765
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_14_23026375_23033368	2.52483768983292e-22	0.879
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_6_30105242_30108053	1.15999520906074e-21	0.513
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_7_6038671_6038918	9.18805575121342e-20	0.649
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_7_6038671_6040892	2.56716085743555e-19	0.652
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_3_47257560_47264286	3.76500106789826e-19	0.534
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_7_6039035_6040892	1.22799543367773e-18	0.58
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_2_27372740_27373247	1.25799719519292e-18	0.931
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_9_132988468_132989742	2.40000431531694e-18	0.737
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_6_32040205_32040406	2.49222155469296e-18	0.928
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_7_6046151_6046992	3.55880054930658e-18	0.737
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_7_6046151_6046777	3.66779575424461e-18	0.737
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_19_1154402_1155086	4.44800853402943e-18	0.512
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_11_65638182_65640831	1.35794722900769e-16	0.937
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_11_65638182_65638535	8.42513374420141e-16	0.716
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_12_8698297_8699785	3.37804452512298e-15	0.854
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_12_8777802_8780575	5.2590063030558e-15	0.769
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_11_65638182_65639136	5.57700608522667e-15	0.889
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_12_8780112_8780575	9.75899462375779e-15	0.747
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_17_80137501_80138142	1.00799973825328e-14	0.812
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_12_8698297_8713811	1.20047870563092e-14	0.829
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_12_8777802_8780035	1.70109643670712e-14	0.803
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_9_137206309_137212502	3.06500133234896e-14	0.953
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_11_65647658_65649512	1.18540533399211e-13	0.609
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_12_8698297_8713815	6.00635482591066e-13	0.537
Astle_et_al_2016_High_light_scatter_reticulocyte_count	intron_11_8831688_8839310	6.21458002890772e-12	0.863
